,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
36,4625256813_4,2,2,2,2,4,2,725,what does the man do after falling out from the skateboard,TN,walk away,goes to the other side,pick up skateboard,tries to catch cards,ride scooter,True,False,True,True,True,False,True
42,3255908815_4,1,1,1,1,4,1,1017,why does the boy put his hands over the camera,CW,paying attention to man,playing,hand gesture while talking,show affection,tap table,True,False,True,True,True,False,True
48,3557601110_10,1,1,1,1,0,1,305,what does the bike rider do after falling down from the bridge,TN,walk towards the boy,grab the bridge for support,walk away,kneel at the side,excited,True,False,True,True,True,False,True
53,4405327307_7,4,4,4,4,1,4,710,where is this video taken,DL,snow mountain,road,dancing hall,ball room,stage,True,False,True,True,True,False,True
57,2925959064_0,0,0,0,0,0,0,1233,why is the white bird perched on a rock,CW,resting,eating,marking for landing spot,enjoying sunlight,passerby taking photos,True,False,True,True,True,True,True
58,2400084970_2,0,0,0,0,0,0,635,why did the lady in green cover her mouth and bend down in the middle,CW,laughing,tie shoelace,adjust shoes,focused on the ground,attract dog's attention,True,False,True,True,True,True,True
61,3672431760_8,2,2,2,2,1,2,765,how does the lady react when the dog fetches the twig,TC,follow,look at girl,watches dog run away,move backwards,touch lady s head,True,False,True,True,True,False,True
72,4675888059_5,1,1,1,1,4,1,1632,why did the lady in blue shirt hold the car wheels in the middle of the video,CW,pose,prevent car from moving,crafting,clean the wheels,change the wheels,True,False,True,True,True,False,True
81,5880312109_7,2,2,2,2,1,2,902,what did the girl do after she walked to the opposite direction after spinning,TN,tries to say something,makes faces,walk back to the lady,picked a stuff toy,lie down on the floor,True,False,True,True,True,False,True
91,4311927018_6,0,0,0,0,0,0,888,why are there people inside the building,CW,working,listening to speaker,watching fencers,show the outside,to blow toy,True,False,True,True,True,True,True
99,4607629530_4,2,2,2,2,0,2,1387,where is this place,DL,garden,porch outside house,indoors,martial arts classroom,outside a house,True,False,True,True,True,False,True
103,2407193002_4,2,2,2,2,1,2,1637,why did the boy in white leave the sofa while the boy wearing yellow was moving sideways nearer to the sofa,CW,help him to take food,take his presents,do something else,refill his bottle,reading a book,True,False,True,True,True,False,True
109,11794871936_5,2,2,2,2,4,2,438,what expression did the girl give after she pointed at the camera,TN,wipe her face,cry,smile,presented her cup,she started talking,True,False,True,True,True,False,True
119,3083302557_2,1,1,1,1,4,1,1420,why is the lady wearing a white cap,CW,play with baby,hiking outside,watching the crane,emcee,talking to cameraman,True,False,True,True,True,False,True
120,3357799819_5,2,2,2,2,1,2,1342,how does the woman attempt to turn the baby over at the start,CH,skip,playing with her hair,push baby over,carry her up,rubbing the baby,True,False,True,True,True,False,True
123,7530907250_2,3,3,3,3,1,3,677,what was the boy wearing on his head,CW,ribbons,headbands,goggles,cap,bandana,True,False,True,True,True,False,True
132,2433368517_5,1,1,1,1,4,1,964,why did the ground look wet,CW,spilled water,rain,bathing area,near the sea,water overflowed,True,False,True,True,True,False,True
135,4178047134_3,4,4,4,4,4,4,641,how was the lady carrying the baby at the beginning of the video,CH,touch fingers,carry in baby bag,with baby pouch,jumping,hold the baby s chest,True,False,True,True,True,True,True
136,3735590728_1,3,3,3,3,0,3,506,what is the relation between the kid and the lady,DO,lady is mother,grandmother,sisters cousins,parent offspring,teacher and student,True,False,True,True,True,False,True
138,3294811247_9,2,2,2,2,4,2,603,why are they smiling,CW,on swing,enjoy skiing,happy playing table tennis,interested in the programm,playing with balloons,True,False,True,True,True,False,True
143,3747186945_10,4,4,4,4,1,4,1179,where is this happening,DL,wooded areas,skate park,residential area,in the middle of the sea,indoors,True,False,True,True,True,False,True
146,4827069441_6,3,3,3,3,4,3,499,how does the boy show affection to the rabbit,CH,jumping around rabbit,caress its ears,feed carrot,kiss it,chasing the rabbit,True,False,True,True,True,False,True
151,5503178247_5,0,0,0,0,0,0,950,how many kids were there,DO,two,one,three,six,five,True,False,True,True,True,True,True
155,5780852028_4,0,0,0,0,0,0,1438,why are there two men wearing black holding the bicycles at the start,CW,stabilise bicycles,fix the bicycle,take photo of bicycle,getting off their bicycles,protect participants,True,False,True,True,True,True,True
157,4924794333_6,1,1,1,1,1,1,1058,how does the baby play the instrument,CH,kick it,press the keys,step on it,tear the music sheet,jump on it,True,False,True,True,True,True,True
158,12299711406_11,1,1,1,1,1,1,938,where could this be happening,DL,function room,kitchen,garden,pavement,in a shop,True,False,True,True,True,True,True
161,8316861265_3,0,0,0,0,0,0,1863,what is the girl doing,TC,dancing,skiing,playing with stool,throwing bin,playing with toys,True,False,True,True,True,True,True
163,6045316181_4,3,3,3,3,0,3,1015,what did the person outside of the bathtub do to the youngest boy at the end of the video,TC,push boy,pick taco up,pick up shower head,touch boy s hair,walk to the other side to jump,True,False,True,True,True,False,True
167,8371375957_9,4,4,4,4,1,4,1202,how is the food prevented from spilling onto the baby s clothings,CH,man feed,wears napkin,lady feed the baby,eats slowly,wears a bib,True,False,True,True,True,False,True
168,2403087559_2,3,3,3,3,0,3,719,how did the lady lying on the floor seem to feel like when the man on top of him was pressing down,TC,nervous,friendly,frightened,relaxed,calm,True,False,True,True,True,False,True
172,6134687264_0,1,1,1,1,1,1,431,why does the child in stripes hold on to the table,CW,reach for the utensils,support,take the food,clean the table,adjust the tablecloth,True,False,True,True,True,True,True
186,2703151976_4,2,2,2,2,1,2,1351,how do the audience react at the end of the woman s speech,TC,take photos,stare at the screen,clap,nod their heads,type on their laptop,True,False,True,True,True,False,True
189,6973757699_5,3,3,3,3,4,3,365,why is there a man standing at the start of the road,CW,watching the man write calligraphy,need to play the drum,open space,looking after the child,to show to people,True,False,True,True,True,False,True
193,8371375957_1,3,3,3,3,4,3,1202,why did the baby eat the spagetti strand by strand,CW,tie knots,taste snow,sunk,can not eat too much,eating food,True,False,True,True,True,False,True
195,7691046836_9,0,0,0,0,0,0,1460,why did the boy in checkered turned his head to his left several times,CW,look at man,turn on the path,to show off toy,sleeping,looking at drumstick,True,False,True,True,True,True,True
196,5600915537_6,3,3,3,3,1,3,1275,why does the man end up on the ground at the end,CW,fighting with other man,talk to the baby,ties shoelaces,falls,adjust his board,True,False,True,True,True,False,True
197,3121452683_4,4,4,4,4,4,4,831,why did the man twirl the girl to do a circle around,CW,she was facing the wrong direction,ice skating,encourage baby to dance,following the video,part of dance move,True,False,True,True,True,True,True
199,11645942265_1,4,4,4,4,4,4,980,why was there a dog looking at the ground when the man walked,CW,to guide the man,guide the dog the direction,ensure the dog s on right path,want to be caressed,smelling the ground,True,False,True,True,True,True,True
205,2597214137_6,0,0,0,0,0,0,2697,where is this place,DL,living room,stage,zoo,dirt field,mountain,True,False,True,True,True,True,True
209,4463062358_2,0,0,0,0,0,0,526,why did the baby smile at the man when he touches him,CW,enjoying his touch,angry,upset,feels clean,disappointed,True,False,True,True,True,True,True
214,6176571322_2,1,1,1,1,1,1,384,why do each of the girls hold onto a puppet at the beginning of the video,CW,drag the red box,performed using puppets,dancing performance,playing with baby,pick up something on the floor,True,False,True,True,True,True,True
222,12908685313_4,3,3,3,3,4,3,1442,how many people are there on the boat,DC,eight,seven,six,three,four,True,False,True,True,True,False,True
223,4220621763_0,1,1,1,1,1,1,1338,how do people keep warm indoors,DO,dimly lighted,wear thick clothes,stretch,winter jacket,wear socks,True,False,True,True,True,True,True
231,3835096097_4,2,2,2,2,4,2,528,why did the men walk back to their original position after the thinner man let go of the fatter man,CW,keep a safet distance for others,cautious of heat,to startover again,waiting for his turn,can not cycle on that ground,True,False,True,True,True,False,True
232,4937654460_6,4,4,4,4,1,4,2697,why did the small dog run away after biting the big dog at its mouth,CW,more space to run before jumping,play fetch,playing in their own way,chase the bottle,escape,True,False,True,True,True,False,True
235,11367655303_2,0,0,0,0,0,0,452,why is the dog chewing on the ball,CW,playing with it,wang to play with one another,take the food,hold in place,tear out meat,True,False,True,True,True,True,True
236,5498789102_10,2,2,2,2,0,2,873,how does the boy in grey react after seeing the girl in pink blows her mouth,TN,clap his hand,move her body,blows,annoyed,look at camera,True,False,True,True,True,False,True
239,4740931975_6,1,1,1,1,0,1,960,what activity is the man doing in the video,TC,playing around,fishing,cycling,drinking,crossing the road,True,False,True,True,True,False,True
242,5589529025_2,2,2,2,2,1,2,900,what is the relationship between the woman and the children,DO,teacher and student,bandmates,parent offspring,friends,work colleagues,True,False,True,True,True,False,True
244,12908685313_7,4,4,4,4,4,4,1442,what is the person sitting back doing with her pole in the middle of the video,TC,nodding,walk off with the pole,throwing it away,pass pole to the man,raised her pole,True,False,True,True,True,True,True
248,3028133743_4,1,1,1,1,1,1,494,how does baby react after the woman raises the kid in the pool,CH,holding the baby in her hands,laugh,walk to the man,hold baby s body,hit water with hand,True,False,True,True,True,True,True
249,2906873825_7,2,2,2,2,4,2,479,why are some of the men mouthing words,CW,teaching,play game,singing,talking,praying,True,False,True,True,True,False,True
251,12078592673_5,4,4,4,4,1,4,1292,how did the boy in black respond after the woman put the tomato sauce bottle in front of him,TN,run to the,scratch arms,guide the boy,throw coins into bowl,scoop sauce with spoon,True,False,True,True,True,False,True
252,4346015300_5,0,0,0,0,0,0,575,where is this video taken,DL,room,sheltered area,boxing ring,mountain areas,outdoors,True,False,True,True,True,True,True
253,4039610385_8,1,1,1,1,1,1,981,what did the woman do after she raised her hands,TN,playing with stool,dance,continue cycling,playing golf,teaching to read,True,False,True,True,True,True,True
257,4976487220_8,1,1,1,1,0,1,2643,what is used to fix the hair of blonde woman,DO,bobby pins,large hair clip,rubber band,srunchie,hair net,True,False,True,True,True,False,True
260,4631119360_0,0,0,0,0,4,0,1049,how do you know that the wind is strong,CH,waves crashing hard,boy swept away,sand spill from scooper,people blown away,sand is flying,True,False,True,True,True,False,True
274,6862984319_8,1,1,1,1,1,1,696,how many elephants are in the video,DC,five,two,six,one,four,True,False,True,True,True,True,True
279,7251069966_2,1,1,1,1,1,1,630,what does the dog do before it sees the person in blue picking up the ball,TP,rest,move away from ball,lays down,swing his paws,bring it to lady in jeans,True,False,True,True,True,True,True
287,8696216243_5,2,2,2,2,1,2,890,what is the possible relation between the lady in green and the children,DO,slides,float,parent offspring,trainer trainee,using phone,True,False,True,True,True,False,True
291,4326843514_7,2,2,2,2,4,2,612,what does the baby do after unrolling the toilet paper,TN,gently,takes support,look at it,clean baby s feet,crawl to the pacifier,True,False,True,True,True,False,True
297,2814476910_4,3,3,3,3,4,3,711,how did the lady protect her eyes from the sun,DO,wearing thick clothes,by her hand,wear thick clothes,sunglasses,hat,True,False,True,True,True,False,True
301,5498789102_0,2,2,2,2,1,2,873,why is there a cake in the middle of the table in the living room,CW,cooking class,wedding,birthday celebration,man put it on table,lesson,True,False,True,True,True,False,True
305,4177758139_5,2,2,2,2,1,2,2697,what did the boy do after the girl finished talking near the end of the video,TN,drinks,look at boy,talk,look over fence of porch,push box to where he started,True,False,True,True,True,False,True
307,4444103383_5,3,3,3,3,0,3,1131,why is the person with black shirt moving his body,CW,exercising,taking a book,turning around to see television,engrossed in performance,bending forward,True,False,True,True,True,False,True
312,5550305641_4,1,1,1,1,4,1,2697,why did the boy stop and look down in the middle of the video,CW,pick up the ball,check pedal,trying to open bottle,play with toy,look at the boy touching him,True,False,True,True,True,False,True
313,5509677964_8,1,1,1,1,1,1,389,why are the babies leaning on the adults shoulder,CW,baby are scared,support themselves,for warmth,for comfort after crying,to see higher,True,False,True,True,True,True,True
315,8105331297_13,3,3,3,3,0,3,1225,how was the woman positioned in front of the piano,CH,standing,beside man,leaning against,sitting,stand up from piano seat,True,False,True,True,True,False,True
318,3571539122_7,0,0,0,0,0,0,415,where are the people performing,DL,on stage,street,grass patch,in the sea,pool,True,False,True,True,True,True,True
322,2500623285_6,1,1,1,1,0,1,450,how did the dog respond when the man started digging a hole with his leg,TC,nod,looks at the hole,walked towards the hole,lift its head up to another direction,walk away,True,False,True,True,True,False,True
326,5542785759_2,3,3,3,3,0,3,645,where is all the food displayed,DL,pigsty,forest trail,swimming pool,on the table,room,True,False,True,True,True,False,True
330,8666744695_4,2,2,2,2,1,2,783,what animal is shown in the video,DO,elephants,tiger,dog,fish,elephant,True,False,True,True,True,False,True
332,13887487955_5,4,4,4,4,4,4,1602,what did the man with blue helmet do after he first bent down near the start,TN,jump happily,look up,walks away,crawl to the lady,push some cement,True,False,True,True,True,True,True
340,4293949179_0,2,2,2,2,4,2,300,why is the man holding the baby in a knapsack,CW,dancing with baby,hot sun,carry baby safely,play with him,wave the horse,True,False,True,True,True,False,True
341,3835096097_6,3,3,3,3,4,3,528,what does the fatter man do after the thinner man stops pushing in the middle of the video,TN,pour the cup s content back,look at white statue,put finger in the mouth,walks to the centre,pointing,True,False,True,True,True,False,True
343,4863455612_5,1,1,1,1,1,1,732,what does the woman in grey do after approaching the grey object at the start,TN,drinks water,brush the grey object,lean forward,smiling,talks to the woman in red,True,False,True,True,True,True,True
346,8105743251_0,4,4,4,4,4,4,917,how many dogs are there,DC,six,three,four,one,two,True,False,True,True,True,True,True
347,7163754671_4,3,3,3,3,1,3,369,how many dogs are there,DC,four,one,nine,two,three,True,False,True,True,True,False,True
348,3747923836_3,4,4,4,4,4,4,935,why did the boy in green shorts hold the bicycle,CW,wide hole on the ground,cycling,practicing,posing,assist getting the bike out of water,True,False,True,True,True,True,True
352,4039239344_7,0,0,0,0,0,0,360,where is this video taken,DL,pond,park,dancing hall,kitchen,outdoor,True,False,True,True,True,True,True
354,5475182274_1,2,2,2,2,4,2,1786,why did the man beside the toddler extend his hand out,CW,to pick water bottle up,to play with balls,to reach for toy,point the spoon at him,to note something on the book,True,False,True,True,True,False,True
357,3608098943_9,4,4,4,4,1,4,649,how does the woman in black react after winning the game,TN,walk towards camera,get up,walk away,poke her,smiling,True,False,True,True,True,False,True
364,3740849151_4,2,2,2,2,4,2,643,why is the lady sitting on the floor,CW,pick up the toy,play with dog,play with baby,clean the floor,check the machine,True,False,True,True,True,False,True
373,4039610385_3,0,0,0,0,4,0,981,why did the black shirt woman shake her butt in front of the red shirt man at the start,CW,dancing,playing drums,angry,take control from the girl,check out something,True,False,True,True,True,False,True
376,5012237466_6,1,1,1,1,4,1,1386,how many children played with the water,DC,eight,two,six,three,four,True,False,True,True,True,False,True
379,8686938112_0,2,2,2,2,1,2,534,why are the bikers so close to the ground when they turn,CW,lose balance,stability,turning,to look for lady,pick up toy,True,False,True,True,True,False,True
382,10128261054_9,4,4,4,4,1,4,571,why did the man on the left turn his face back and walk away,CW,he was injured,he wanted to sit down,pick something up,someone talking to him,end of match,True,False,True,True,True,False,True
387,8617869131_4,4,4,4,4,4,4,926,how did the two people at the end of the video react when they saw the men with the horse,TC,get off the scooter,raise his eyebrows,put hand on forehead,looks back at the man speaking,turn towards the horse,True,False,True,True,True,True,True
389,8674344665_4,2,2,2,2,1,2,415,how many crocodiles are there,DC,five,four,two,six,nine,True,False,True,True,True,False,True
395,8469860079_7,3,3,3,3,4,3,1448,why are the children moving around,CW,learning to swim,prevent falling off,playing with dog,performing,skating,True,False,True,True,True,False,True
400,7916860778_2,2,2,2,2,4,2,418,why did the white hair man stand up after the girl fell down,CW,someone called him,touch the tree,help girl up,carry the dog up,dancing,True,False,True,True,True,False,True
401,2569826147_8,4,4,4,4,1,4,396,how many cats are involved in the video,DC,five,three,four,one,two,True,False,True,True,True,False,True
406,2411633466_0,2,2,2,2,4,2,637,what does the man in floral shirt do as the man in black was controlling the object at the start,TC,move backwards,listen,watch,run,kayaking,True,False,True,True,True,False,True
407,3381602382_8,2,2,2,2,1,2,1757,what did the boy in blue do after the woman cut out the second circle from the bag in the middle,TN,wash hands in mud,toy,put it in the jar,start jumping,start pulling the pram again,True,False,True,True,True,False,True
412,3089060111_7,0,0,0,0,0,0,940,what did the baby do when he put his hand on the air vent in the middle,TC,hover toy over air vent,touch the cake,sits on it,move legs,laying on air vent,True,False,True,True,True,True,True
414,4289404873_3,0,0,0,0,4,0,1355,what did the man in blue do after the man carrying a big bag walked over at the middle of video,TN,walk away from his group,observe,hold his hands,picked up his drink,looks at his drink,True,False,True,True,True,False,True
416,6764465247_1,3,3,3,3,4,3,2430,why does the man wearing black look at the woman while talking,CW,engage audience,watch her performance,look at her phone,listen to her,take picture of her,True,False,True,True,True,False,True
418,2597214137_1,2,2,2,2,4,2,2697,how did the baby feel towards the toy telephone,TC,bored,sad,interested,aggrieved,agitated,True,False,True,True,True,False,True
419,7004238086_2,0,0,0,0,0,0,435,where is this video taken,DL,living room,backyard,kitchen,supermarket,mountain,True,False,True,True,True,True,True
423,6237913346_1,0,0,0,0,0,0,1219,where is the video taken,DL,living room,zoo,carrot farm,park,beach,True,False,True,True,True,True,True
428,3020343223_7,2,2,2,2,4,2,1502,why did the man in white move his body so much at the end of the video,CW,lost balance,making hand gestures,grooving along with music,excited for food,get close to lady in grey,True,False,True,True,True,False,True
430,4784858772_2,2,2,2,2,4,2,809,why did the shirtless man move his body in front of the woman with white headscarf,CW,woman blocked his view,to change position,entertain her,exercising,follow woman movement,True,False,True,True,True,False,True
432,3540508501_12,0,0,0,0,4,0,1632,who is proficient in using the gun,DO,the man,lady with bandana,man in blue gloves,lead singer,the 2 men in stripes,True,False,True,True,True,False,True
443,2404303400_1,3,3,3,3,4,3,1923,why did the people in white jacket move their bodies when they walk pass the men,CW,frightened of the dog,alerted by the arrow shoot,feeling uneasy,dancing to music,exercising,True,False,True,True,True,False,True
447,3765087719_2,2,2,2,2,0,2,2165,why does the woman with red hair put up her hand in the middle of the video,CW,make cork fly out,wipe the man s mouth,performance gesture,to silence the crowd,help to take out microphone,True,False,True,True,True,False,True
454,3628972520_2,2,2,2,2,4,2,601,why are the roadside plants swaying,CW,play with ball,night time,wind blowing,cross bridge,watching,True,False,True,True,True,False,True
456,4203080888_4,0,0,0,0,0,0,801,which room in the house is the girl at,DO,living room,bottle of syrup,friends,pet,piano,True,False,True,True,True,True,True
459,11400037054_3,4,4,4,4,1,4,1811,how is the lady in black expressing herself as she speaks,CH,jump up,nod her head,look constantly in one direction,slide over,hand gestures,True,False,True,True,True,False,True
460,4080877621_10,4,4,4,4,4,4,658,what did the man do after the lady blew into the toy at the beginning of the video,TN,shuffles away,talk,get out of car,look at him,adjust his toy,True,False,True,True,True,True,True
466,3487251005_5,4,4,4,4,0,4,610,how did the boy in blue intend to amplify his voice into the video,CH,he spoke through a cone,he was yelling,he used a megaphone,loudspeaker,microphone,True,False,True,True,True,False,True
474,6310337188_3,4,4,4,4,4,4,2160,how does the man show affection towards the baby,CH,dance with the baby,talk to baby,gave him the food,cycle with him,kiss the baby,True,False,True,True,True,True,True
476,2925959064_4,3,3,3,3,4,3,1233,why are the ducks paddling their feet,CW,waiting to be fed,making bigger movements,stay floated,to move and swim,looking around for food,True,False,True,True,True,False,True
480,8109777832_0,3,3,3,3,1,3,2492,what colour are the woman and the girl wearing,DO,grey,orange,purple,pink,yellow,True,False,True,True,True,False,True
482,7530953680_1,4,4,4,4,4,4,1320,how did the man show the camera what he was referring to when he talked,CH,use an arrow,press the shutter,shoot arrow,use a laser,point,True,False,True,True,True,True,True
492,4397841774_4,3,3,3,3,0,3,400,why is the boy moving forward,CW,cycle,someone push him,swimming,sled down a slope,running,True,False,True,True,True,False,True
500,3702630327_1,4,4,4,4,4,4,347,why does the man carry paddle sticks in his hand in between,CW,washing dog,bathing,nervous,for oxygen supply,to put it somewhere,True,False,True,True,True,True,True
505,10467727335_3,2,2,2,2,4,2,1360,how did the man show affection towards the girl,CH,kiss one another,spin the girl,hug her,coming close to eachother,looks at the boy and laugh,True,False,True,True,True,False,True
509,3205604574_0,2,2,2,2,4,2,2697,why did the boy hold onto the toy microphone,CW,to talk at an event,to shout at the adult,to sing,to pose for a photo,to support his friend,True,False,True,True,True,False,True
515,4827069441_3,2,2,2,2,0,2,499,what does the boy do before kissing the rabbit,TP,smile excitedly,wave to rabbit,caress the rabbit,look at camera,touch its ears,True,False,True,True,True,False,True
518,7158973140_5,1,1,1,1,4,1,641,why is the baby holding on to the red toy,CW,want to throw it,biting it,curious,want to pass toy to cameraman,feeling warm,True,False,True,True,True,False,True
519,5953341392_5,3,3,3,3,1,3,1624,where is the baby sitting,DL,back of the trunk,high chair,playground,baby seat,along a pathway,True,False,True,True,True,False,True
522,6292691001_6,1,1,1,1,4,1,549,what does the lady do after reaching the boy,TN,wipe her face,carry boy,stomp her foot,hand gesture,point at the bicycle,True,False,True,True,True,False,True
531,6382059603_3,4,4,4,4,0,4,1416,why does the boy in blue hold his legs when in the special seat,CW,to not bump into toy train,wipe his legs,check wound,support his tablet,comfortable,True,False,True,True,True,False,True
533,3386797396_7,4,4,4,4,4,4,345,why are the goats behind the fences in the video,CW,ready to be shaved,for food,for performance,measure weight,prevent them from escaping,True,False,True,True,True,True,True
537,2774457371_3,0,0,0,0,0,0,2038,why did the cat bend its head below the tap,CW,drink water,relaxing,observe water flowing,cleaning itself,clean its paws,True,False,True,True,True,True,True
539,9132487788_10,3,3,3,3,4,3,1821,what is the possible relationship between the two men,DO,siblings,teacher student,parent offspring,friends,father offspring,True,False,True,True,True,False,True
542,2976061023_4,0,0,0,0,0,0,961,what is the relationship between the people in the circle,DO,friends,band members,colleagues,team members,family,True,False,True,True,True,True,True
552,6091663460_3,2,2,2,2,4,2,460,why did the man in black pants swing his arm everytime he serves,CW,hands tired,signalling to friend,technique,stop the swing,perform tricks,True,False,True,True,True,False,True
554,5297426137_0,2,2,2,2,1,2,1227,where is this video taken,DL,sea,road,room,on the plane,outdoor,True,False,True,True,True,False,True
558,4754644196_8,3,3,3,3,0,3,405,how is the lady in grey shirt resting,CH,lie down,meditating,rest her back on chair,sitting and enjoying the view,lie on man shoulders,True,False,True,True,True,False,True
565,4353644811_8,4,4,4,4,0,4,1522,where is the dog sitting,DL,man s lap,on the floor,back of its head,park,couch,True,False,True,True,True,False,True
567,6029706386_2,0,0,0,0,0,0,1050,why did the man hold the girl s hands in the middle of the video,CW,help her sit down,signal to stop swimming,walk towards dog,carry the bag,adjust shirt,True,False,True,True,True,True,True
572,7198714574_7,4,4,4,4,1,4,1029,how do the two people know what to recite,CH,look at screen,refer to her laptop,watch television,look at each other,read,True,False,True,True,True,False,True
579,4127483344_5,4,4,4,4,4,4,1362,what was the lady doing as the dogs walked towards her at the end,TC,taking out the cake,move away from the mud,climb onto ladder,eating waffles,looking at the dogs,True,False,True,True,True,True,True
582,2400084970_7,0,0,0,0,0,0,635,what was the colour of the car that passed them before the middle part of the video,TP,white,red,blue,green,yellow,True,False,True,True,True,True,True
583,3553030619_9,3,3,3,3,4,3,1471,how is the baby on the bed feeling,TC,shocked,proud,sad,excited,awkward,True,False,True,True,True,False,True
594,4226455621_1,1,1,1,1,4,1,975,why is the person in jeans lying on the mat,CW,reading,resting,painting,doing yoga,patting dog,True,False,True,True,True,False,True
596,8545885849_4,4,4,4,4,4,4,842,where did the boy put his right hand after hitting the bottle on the floor a few times at the beginning of the video,TN,on his back,in his pocket,take taco up,put a purple bowl inside,on bottle,True,False,True,True,True,True,True
599,5353486947_2,0,0,0,0,0,0,464,why did the baby dance and swing her arms at the end of the video,CW,feel happy,take balloon away from baby,dancing to the music,calling for the dog,exercising,True,False,True,True,True,True,True
600,2786223802_2,4,4,4,4,4,4,316,how does the lady ensure that the baby does not fall while walking,CH,hold the trolley,follow baby,with a fence,wear gloves,hold her,True,False,True,True,True,True,True
609,5031528157_3,1,1,1,1,4,1,1798,what did the boy do at the end,TC,adjust the tricycle,walk away,take more food,sing,showing us an experiment,True,False,True,True,True,False,True
611,3134608824_0,0,0,0,0,0,0,1019,what is the girl doing as she put her hands on the fridge at the beginning of the video,TC,taking off the magnets,eat ice cream,opens his mouth,take her phone out,touch the shoulder and hair of the man,True,False,True,True,True,True,True
617,4178472052_4,2,2,2,2,1,2,369,why is there another gun on the table near the men,CW,for sale,for display,man in white cap s gun,for washing,for exhibition,True,False,True,True,True,False,True
629,3598384046_1,4,4,4,4,4,4,2253,how did the baby make sure he does not fall when he stands in the cradle,CH,sitting down,hold the lady,grab rope,safety net,hold onto side,True,False,True,True,True,True,True
633,6388102299_3,4,4,4,4,4,4,1440,why is the baby laughing,CW,watching video,reading book,looking at dog,dancing to music,playing with lady,True,False,True,True,True,True,True
635,6885631865_9,0,0,0,0,1,0,676,what is a possible relationship between the baby and the person,DO,parent and child,teacher student,colleagues,friends,grandparent grandchildren,True,False,True,True,True,False,True
636,6310337188_2,3,3,3,3,4,3,2160,why did the baby smile,CW,had a new present,the music was pleasant,man is making faces,happy,likes the book,True,False,True,True,True,False,True
638,4039610385_1,0,0,0,0,0,0,981,why did the black shirt woman clap her hands and raise her hands in front of the dancing man,CW,cheering him on,happy to receive award,singing,striking a pose,excited for the ride,True,False,True,True,True,True,True
641,3524009829_9,3,3,3,3,0,3,1198,what is the weather like,DO,good,misty,forest,sunny,winter,True,False,True,True,True,False,True
647,2758300055_5,0,0,0,0,0,0,1473,what does the woman in white do after patting the baby at the beginning,TN,shake baby up and down,put her arms up,start talking,watching,supervise,True,False,True,True,True,True,True
648,9598464461_0,2,2,2,2,4,2,1180,how is the girl protected from the sun,CH,stand under umbrella,stay in shade,wear hat,cover her eyes,wear sunglasses,True,False,True,True,True,False,True
649,2525831823_2,0,0,0,0,0,0,2244,why do the people look at the black board in front of them,CW,check the music notes,looking at pictures,lecturing,confused about the formula,giving speech,True,False,True,True,True,True,True
656,4315349265_0,3,3,3,3,4,3,1643,what is the relationship between the man and woman cutting the cake,DO,fix chair,owner pet,tastes very good,couple,siblings,True,False,True,True,True,False,True
663,11506594895_0,4,4,4,4,1,4,756,how does the girl in purple get the end of the leash at the start,CH,move her body,carrying,using red ball,use clapperboard,man passed to her,True,False,True,True,True,False,True
664,4544425606_8,0,0,0,0,0,0,806,why is the lady in green standing at the side while the man is talking,CW,waiting,drinking water,play golf,playing with children,take photo,True,False,True,True,True,True,True
