,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
460,4080877621_10,4,4,4,4,4,4,658,what did the man do after the lady blew into the toy at the beginning of the video,TN,shuffles away,talk,get out of car,look at him,adjust his toy,True,False,True,True,True,True,True
474,6310337188_3,4,4,4,4,4,4,2160,how does the man show affection towards the baby,CH,dance with the baby,talk to baby,gave him the food,cycle with him,kiss the baby,True,False,True,True,True,True,True
482,7530953680_1,4,4,4,4,4,4,1320,how did the man show the camera what he was referring to when he talked,CH,use an arrow,press the shutter,shoot arrow,use a laser,point,True,False,True,True,True,True,True
500,3702630327_1,4,4,4,4,4,4,347,why does the man carry paddle sticks in his hand in between,CW,washing dog,bathing,nervous,for oxygen supply,to put it somewhere,True,False,True,True,True,True,True
533,3386797396_7,4,4,4,4,4,4,345,why are the goats behind the fences in the video,CW,ready to be shaved,for food,for performance,measure weight,prevent them from escaping,True,False,True,True,True,True,True
537,2774457371_3,0,0,0,0,0,0,2038,why did the cat bend its head below the tap,CW,drink water,relaxing,observe water flowing,cleaning itself,clean its paws,True,False,True,True,True,True,True
542,2976061023_4,0,0,0,0,0,0,961,what is the relationship between the people in the circle,DO,friends,band members,colleagues,team members,family,True,False,True,True,True,True,True
567,6029706386_2,0,0,0,0,0,0,1050,why did the man hold the girl s hands in the middle of the video,CW,help her sit down,signal to stop swimming,walk towards dog,carry the bag,adjust shirt,True,False,True,True,True,True,True
579,4127483344_5,4,4,4,4,4,4,1362,what was the lady doing as the dogs walked towards her at the end,TC,taking out the cake,move away from the mud,climb onto ladder,eating waffles,looking at the dogs,True,False,True,True,True,True,True
582,2400084970_7,0,0,0,0,0,0,635,what was the colour of the car that passed them before the middle part of the video,TP,white,red,blue,green,yellow,True,False,True,True,True,True,True
596,8545885849_4,4,4,4,4,4,4,842,where did the boy put his right hand after hitting the bottle on the floor a few times at the beginning of the video,TN,on his back,in his pocket,take taco up,put a purple bowl inside,on bottle,True,False,True,True,True,True,True
599,5353486947_2,0,0,0,0,0,0,464,why did the baby dance and swing her arms at the end of the video,CW,feel happy,take balloon away from baby,dancing to the music,calling for the dog,exercising,True,False,True,True,True,True,True
600,2786223802_2,4,4,4,4,4,4,316,how does the lady ensure that the baby does not fall while walking,CH,hold the trolley,follow baby,with a fence,wear gloves,hold her,True,False,True,True,True,True,True
611,3134608824_0,0,0,0,0,0,0,1019,what is the girl doing as she put her hands on the fridge at the beginning of the video,TC,taking off the magnets,eat ice cream,opens his mouth,take her phone out,touch the shoulder and hair of the man,True,False,True,True,True,True,True
629,3598384046_1,4,4,4,4,4,4,2253,how did the baby make sure he does not fall when he stands in the cradle,CH,sitting down,hold the lady,grab rope,safety net,hold onto side,True,False,True,True,True,True,True
633,6388102299_3,4,4,4,4,4,4,1440,why is the baby laughing,CW,watching video,reading book,looking at dog,dancing to music,playing with lady,True,False,True,True,True,True,True
638,4039610385_1,0,0,0,0,0,0,981,why did the black shirt woman clap her hands and raise her hands in front of the dancing man,CW,cheering him on,happy to receive award,singing,striking a pose,excited for the ride,True,False,True,True,True,True,True
647,2758300055_5,0,0,0,0,0,0,1473,what does the woman in white do after patting the baby at the beginning,TN,shake baby up and down,put her arms up,start talking,watching,supervise,True,False,True,True,True,True,True
649,2525831823_2,0,0,0,0,0,0,2244,why do the people look at the black board in front of them,CW,check the music notes,looking at pictures,lecturing,confused about the formula,giving speech,True,False,True,True,True,True,True
664,4544425606_8,0,0,0,0,0,0,806,why is the lady in green standing at the side while the man is talking,CW,waiting,drinking water,play golf,playing with children,take photo,True,False,True,True,True,True,True
670,11506594895_7,0,0,0,0,0,0,756,what does the lady in white do after holding a piece of paper in front of her chest for a while at the end,TN,raised up the paper,smile,flip pages,takes a photo,put plastic in pocket,True,False,True,True,True,True,True
671,2679006680_0,4,4,4,4,4,4,827,why does the girl walk around with the toy hanging on the lanyard,CW,walking over to the lady,pass the toy to the boy,hands are occupied,posing for the camera,to carry her toy around easily,True,False,True,True,True,True,True
699,7473257354_0,1,1,1,1,1,1,918,why are there flashes seen throughout the video,CW,handphone light,picture taken,it is raining,people are recording santa and man,stage lights,True,False,True,True,True,True,True
721,4968786437_3,1,1,1,1,1,1,445,what did the boy do after the green man walked past him,TN,walk behind boy in red,look at man in green,stand there,bow,collapse onto floor,True,False,True,True,True,True,True
729,3134608824_1,4,4,4,4,4,4,1019,what did the girl do after she peeled the magnets off the fridge,TN,take spoon to eat,pick up balloon,moves around,show sponge to camera,walk away,True,False,True,True,True,True,True
734,4242382178_4,1,1,1,1,1,1,1176,why are there so many cars and vehicle stopped in front of the man s vehicle,CW,deers in front,traffic jam,audiences,look at it,trekking,True,False,True,True,True,True,True
736,7331895158_3,4,4,4,4,4,4,359,why does the lady hold the round item,CW,interacting with boy,direct attention,dancing with the baby,tries to sing,boy to jump into loop,True,False,True,True,True,True,True
739,3216757365_1,1,1,1,1,1,1,2697,why do the dogs interact with one another in this way,CW,to show anger,play,to desmonstrate who is the alpha,they want to eat,they are cold,True,False,True,True,True,True,True
812,6859440284_3,4,4,4,4,4,4,501,why is the dog walking along with the girl,CW,part of the performance,pushing the girl,finding food,hiding from man,guiding the girl,True,False,True,True,True,True,True
825,5708642873_2,4,4,4,4,4,4,827,what does the man in pink do as the lady in blue is fooling around,TC,cycle,drink wine,point at his basket,dance,watch her,True,False,True,True,True,True,True
858,3487251005_8,0,0,0,0,0,0,610,where is this video taken,DL,room,speech event,snow mountain,lake side,by a lake,True,False,True,True,True,True,True
879,13496784364_0,0,0,0,0,0,0,435,how is the cat being held,CH,in the man s arm,under the sofa,held by girl,in cages,with its paws,True,False,True,True,True,True,True
898,6973757699_7,0,0,0,0,0,0,365,how many cars are parked beside the street,DC,three,six,four,five,eight,True,False,True,True,True,True,True
915,10488004303_8,4,4,4,4,4,4,2493,what does the boy do after playing with the green toy for a while in the middle,TN,adjust boy s arm position,fell down,stand on the stool,put the boy down,let it go and crawl away,True,False,True,True,True,True,True
923,12257884095_3,4,4,4,4,4,4,589,why did the people stretch their legs out while sitting on the ground,CW,watching friends play,play with child,baby playing with pillow,move bike,comfortable,True,False,True,True,True,True,True
952,7694986054_4,0,0,0,0,0,0,1911,where is this,DL,hospital room,factory,restaurant,field,farm,True,False,True,True,True,True,True
954,3485338448_7,1,1,1,1,1,1,660,where is this happening,DL,restaurant,house,performance practice,playing with the piano,lake,True,False,True,True,True,True,True
969,10305881544_5,1,1,1,1,1,1,672,what did the baby do when he walked past a hole,TC,lie down,paused to look at the hole,look at adult,sit down,stand up,True,False,True,True,True,True,True
1005,4922092172_3,0,0,0,0,0,0,1440,why is the man moving his mouth in front of the mic,CW,singing,talking,dancing,point to direct baby s attention,describing something,True,False,True,True,True,True,True
1019,3329878386_0,0,0,0,0,0,0,722,why does the cat get onto the couch,CW,to play with its owner,support himself,for support,domesticated,to catch the torchlight,True,False,True,True,True,True,True
1029,7354297342_0,4,4,4,4,4,4,370,why is the guy looking forward,CW,play game,cool dancing,finished controlling the helicopter,make funny expressions,facing the camera,True,False,True,True,True,True,True
1031,2481132749_4,1,1,1,1,1,1,671,what did the man in black do after the man in white thrown the disc out,TN,hit the ball with the bat,walk towards the thrown disc,looks at the disc,goes away,throw the ball,True,False,True,True,True,True,True
1037,2486475553_0,1,1,1,1,1,1,1315,why did man release the leash,CW,take water,let dog run freely,climb the cliff,reacihng for the children,wanted to fly a kite,True,False,True,True,True,True,True
1044,4775972536_6,0,0,0,0,0,0,887,how did the boy react to the boy in white,CH,imitate him,throw soft toys at boy in white,run after him,jump together,cry,True,False,True,True,True,True,True
1061,7108622827_5,0,0,0,0,0,0,885,why did the cat on top stretch over to the other side at the end,CW,stop playing with other cat,just woke up,happy,relaxed,sunbathing,True,False,True,True,True,True,True
1074,2657975235_4,4,4,4,4,4,4,350,why did the people clap when the blue shirt man stand up,CW,attract attention,calling for help,enjoy his presentation,recording a video,applaud his effort,True,False,True,True,True,True,True
1097,6663770743_6,1,1,1,1,1,1,1521,why does the owl fly back to the man in green and land on the arm of the lady in white,CW,defend itself,green man instructed owl,greeting lady,escape man,find food,True,False,True,True,True,True,True
1137,6068969659_2,0,0,0,0,0,0,2697,what did the lady in blue helped the other lady do,DO,release her from the rope,open the brown box,use the phone,keep the toys,make the baby calm,True,False,True,True,True,True,True
1141,4213031701_6,0,0,0,0,0,0,1581,how does the lady feel while looking at the baby,TC,happy,engrossed,annoyed,restless,upset,True,False,True,True,True,True,True
1144,3336623732_8,0,0,0,0,0,0,1278,what are the children doing in this video,TC,playing,canoeing,taking a break,sleep,learning to walk,True,False,True,True,True,True,True
1149,2876084443_5,0,0,0,0,0,0,644,why were there 2 boats together at the end,CW,another boat came to help,observing the sea traffic,moving towards the shore,making a performance,pose for the camera,True,False,True,True,True,True,True
1164,2486475553_9,0,0,0,0,0,0,1315,what were the people outside the yellow parameter doing while the dog runs,TC,sitting and watching,clapping,smells the flowers,follow the cat,drinking water,True,False,True,True,True,True,True
1171,7975528915_0,4,4,4,4,4,4,2430,why is the man in red watching the group of people as they climb at the start of the video,CW,dancing to music,to video him,dropped item,projecting the lights,wait for them,True,False,True,True,True,True,True
1176,9221389917_8,4,4,4,4,4,4,635,in what direction the girl in white drags the pram after the middle of the video,TN,pick up a stool,skip and look around,lift up spoon,dances at the back,backward,True,False,True,True,True,True,True
1181,8208916209_5,0,0,0,0,0,0,768,what does the cat do after the boy is pointing the laser around in the middle,TN,tries to catch it,eat fish bone,walk away,playing with the tablet,snooze,True,False,True,True,True,True,True
1200,3819750158_8,4,4,4,4,4,4,1302,what is the thing attached to the boy s cap,DO,friends,headphones,balloon,bottle of snack,price tag,True,False,True,True,True,True,True
1226,8906111356_7,0,0,0,0,0,0,1061,how did the smaller owl get its food,CH,from larger owl,from river,peck the tree,uses its claw,catch prey in air,True,False,True,True,True,True,True
1231,12753577835_5,4,4,4,4,4,4,840,what did the boy in white do after he first took the balloon,TN,resting on a chair,put white paper in front of dog,smiles,kiss again,carries it toward the hula hoop,True,False,True,True,True,True,True
1242,3739867574_5,0,0,0,0,0,0,2160,how did the man at the back play his instrument,CH,hit the drums with sticks,press the button,stand on stage,pat with hands,tap his feet,True,False,True,True,True,True,True
1245,8029969533_8,0,0,0,0,0,0,1921,how do the ladies feel as they speak,TC,happy,reluctant,serious,worried,sad,True,False,True,True,True,True,True
1251,4440716971_4,0,0,0,0,0,0,1539,why does the guitarist move back and forth towards the end,CW,space out his movements,to see audience,feeling uncomfortable,signal drummer to clap,to keep calm,True,False,True,True,True,True,True
1287,6819760548_5,0,0,0,0,0,0,1009,why does the man open the door of the car,CW,let lady get in,get off the car,let boy get down,throw a bag to man,get on car,True,False,True,True,True,True,True
1291,7693297646_5,4,4,4,4,4,4,794,why did the man follow closely behind the baby when she moves from point to point,CW,make baby in more comfortable postion,video the baby,encourage baby to swim,check for any reaction,ensure safety,True,False,True,True,True,True,True
1294,3028133743_9,0,0,0,0,0,0,494,what is the baby doing in the pool,TC,relaxing and playing,dipping his legs,put his fingers in his mouth,move towards the lady,looking somewhere,True,False,True,True,True,True,True
1300,7604206790_6,0,0,0,0,0,0,360,how does the boy in red sitting react after the robot turns left,TN,laugh,sit on toilet,lean on sofa,caress the girl s haed,walk around,True,False,True,True,True,True,True
1302,6134687264_5,0,0,0,0,0,0,431,what does the man in grey do as the child in stripes is crawling,TC,observe the child,play the piano,gave the child a rope,asked him to dance,prepare food for him,True,False,True,True,True,True,True
1312,4997304873_11,0,0,0,0,0,0,477,how many men are in the video,DC,two,seven,ten,nine,three,True,False,True,True,True,True,True
1324,7691046836_4,0,0,0,0,0,0,1460,how did the boy feel when singing into the camera,TC,happy,annoyed,angry,afraid,uncomfortable,True,False,True,True,True,True,True
1346,3685025683_2,4,4,4,4,4,4,1020,why did the boy move his hands,CW,catching ball,exercising,playing drums,playing with baby,playing guitar,True,False,True,True,True,True,True
1349,8245178837_7,4,4,4,4,4,4,2661,why did the baby grab the spoon after the lady fed him the second time,CW,to stare at the food,catch spills,to lick it,take more salad,want to eat himself,True,False,True,True,True,True,True
1358,8690893018_7,0,0,0,0,0,0,615,how many ducks are involved in the video,DC,two,one,three,six,four,True,False,True,True,True,True,True
1359,2532161712_3,1,1,1,1,1,1,793,what is the relationship between the boy and the baby,DO,parent and child,siblings,parentoffsprng,father and child,father child,True,False,True,True,True,True,True
1364,2818950014_10,0,0,0,0,0,0,739,what are the people doing,TC,eating and drinking,swimming,reading,feeding animals,jumping,True,False,True,True,True,True,True
1375,4220559457_5,0,0,0,0,0,0,1495,how does the dog keep the pillow in the same position when adjusting the height of the pillow s fold,TC,use its hands,lean against the cushion,curled up,rock the chair,licks the cat,True,False,True,True,True,True,True
1387,8064396272_6,1,1,1,1,1,1,693,where are the dogs hanging out,DL,bed,living room,a forest,carpark,roadside,True,False,True,True,True,True,True
1389,4078892037_2,1,1,1,1,1,1,1450,what does the baby do while on the swing,TC,went to play slide,move legs,kick her legs,father push roll,relaxed,True,False,True,True,True,True,True
1391,3377976885_5,0,0,0,0,0,0,330,why are there rocks and plants in the room,CW,minic panda living environment,filming location for a movie,decorations,provide electricity,protect baby when falling,True,False,True,True,True,True,True
1400,3819750158_11,3,3,3,3,3,3,1302,how is the boy feeling while playing with the car bumpers,TC,serious,sleepy,boring,happy,crying,True,False,True,True,True,True,True
1423,4945866176_2,0,0,0,0,0,0,2697,why did the boy in green turn back in the middle of the video,CW,look at something,ankle pain,check pedal,check time,retrieve his umbrella,True,False,True,True,True,True,True
1424,3727471969_7,1,1,1,1,1,1,1035,how was the baby being carried,CH,on a toy,on white lady s arms,in the high chair,on man s lap,sit on baby chair,True,False,True,True,True,True,True
1426,6813372954_4,0,0,0,0,0,0,1412,what did the man in yellow do after holding the big fruit at shoulder height for a while,TN,lower the fruit,talk on the phone,dismount from his bicycle,help to eat the fruit,clap,True,False,True,True,True,True,True
1455,4088558209_6,0,0,0,0,0,0,2400,how did the girl manify her voice,CH,hold a microphone,standing in front of the microphone,move it towards the baby,hold it up with her right hand,microphone on table,True,False,True,True,True,True,True
1464,4742652230_2,0,0,0,0,0,0,634,how did the girl make the baby move,CH,push the chair baby is in,ask parents to move,move toys from baby,pull rope,carry baby,True,False,True,True,True,True,True
1478,6090059986_1,1,1,1,1,1,1,607,why did the black dog start running near the middle,CW,to prevent get wet,run away from the brown dog,welcome the boy,sniff around,to catch the ball,True,False,True,True,True,True,True
1503,3308258691_5,0,0,0,0,0,0,469,why are there fences surrounding the piano,CW,prevent people from touching it,singing,prevent rabbit from excaping,prevent horse from escaping,prevent trains from moving out,True,False,True,True,True,True,True
1506,9663613477_0,4,4,4,4,4,4,794,why did the dog lick the adult,CW,take the food,to return to the owner,to drink water,playing catch,show its affection,True,False,True,True,True,True,True
1519,4555151860_6,4,4,4,4,4,4,1423,how does the kid react when the man tries to get him to clap his hands,TC,shake his body,play piano,cries,lie down,laughing,True,False,True,True,True,True,True
1520,2758135371_3,0,0,0,0,0,0,719,what did the lady in white do after the snake was placed on her,TN,hold the snake,smile,hold the bottle,look at the girl in pink,blow candle,True,False,True,True,True,True,True
1529,4084841090_1,0,0,0,0,0,0,433,what did the lady do after taking the dog off the float,TN,dip it in pool,follow the girl,ran back,rolls on the ground,move backwards,True,False,True,True,True,True,True
1544,6991460472_7,1,1,1,1,1,1,320,what does the kid do after the woman stops walking and turns around at him,TN,point to her left,walks towards her,stomp her foot,walks backwards,put face close to baby,True,False,True,True,True,True,True
1557,5875210125_6,0,0,0,0,0,0,564,how many people are involved in the video,DO,two,five,ten,four,eight,True,False,True,True,True,True,True
1559,4170300998_6,0,0,0,0,0,0,531,how did the men make sure that the dog is always within reach,CH,hold onto leash,put into car,close the door of cages,dog whistle,put red blanket,True,False,True,True,True,True,True
1561,7564333634_8,4,4,4,4,4,4,510,what did the woman in red on the right do after she stretched her leg at the beginning,TN,stop riding,touch the container,stand up,take scissor cut,bend her body,True,False,True,True,True,True,True
1563,6097011028_9,0,0,0,0,0,0,1380,why did the lady with flower shirt looked at the two ladies in black,CW,talking to them,take note of their behavious,help them stir mixture,follow their directions,take picture of them,True,False,True,True,True,True,True
1567,8652286448_6,4,4,4,4,4,4,1215,what did the baby kangaroo do after it licked itself at first part,TN,put toy handle in mouth,move ears,push 2 blocks closer,same direction as dog,lick the big kangaroo s feet,True,False,True,True,True,True,True
1589,6071633426_0,0,0,0,0,0,0,2674,how did the baby kept his shirt free from stains,CH,bib,tissue,wear apron,wearing a cap,wear napkin,True,False,True,True,True,True,True
1595,3148729782_7,0,0,0,0,0,0,1493,how is the baby being held,CH,in the man s arm,held by woman,on white lady s arms,on man s lap,strapped into pram,True,False,True,True,True,True,True
1600,3697296215_7,4,4,4,4,4,4,439,why were the two men trying to move forward,CW,moving the dog,moving the table,riding the toy horse,paddle the boat,playing,True,False,True,True,True,True,True
1619,6095248978_8,0,0,0,0,0,0,2250,what does the man do after the boy approaches him at the start,TN,talk to boy,smiles,point to camera,start dancing,clap,True,False,True,True,True,True,True
1628,12753577835_1,0,0,0,0,0,0,840,why did the boy in strip started jumping around at first,CW,playing around,look in front,direct attention,catch his balance,learning to ride,True,False,True,True,True,True,True
1629,10309844035_6,4,4,4,4,4,4,960,why is the man in blue there with the man on the ladder,CW,audience,to video speech,he is performing a show,tree trimming,to assist him,True,False,True,True,True,True,True
1634,3332670362_6,0,0,0,0,0,0,1622,why did the boy hold onto the swing with two hands after the swing swung forward back to him,CW,stop the swing,get the toy on the swing,pick up the baby,paint the swing,dropped into the water,True,False,True,True,True,True,True
1645,3386238080_1,4,4,4,4,4,4,1253,why does the man constantly look at the phone s screen,CW,part of performance,expressive,listening to game music,camera man,watch video,True,False,True,True,True,True,True
1669,2667165452_5,4,4,4,4,4,4,900,why is the woman in green facing her bavk towards the view,CW,checking her shoes,holding orange shirt baby,watering the plants,adjusting hair,posing for photo,True,False,True,True,True,True,True
1672,3350068648_2,0,0,0,0,0,0,687,what did the man in black do with his phone after he finished using them in the beginning of the video,TN,put it down,drink,turn to look,jump off the bed,drink from it,True,False,True,True,True,True,True
1675,3167311763_1,1,1,1,1,1,1,1087,why does the lady look disappointed at the end,CW,type on laptop,does not throw the ball well,protect from sun,neck ache,let others speak,True,False,True,True,True,True,True
1676,9203522308_7,1,1,1,1,1,1,1039,what is the occasion in the video,DO,guided the train,birthday,computer screen,performance,phone,True,False,True,True,True,True,True
1693,8617869131_8,0,0,0,0,0,0,926,what did the half naked man do after he came to hold the horse s saddle,TN,guide horse,rock,stare at camera,walk forward,moves back and forth,True,False,True,True,True,True,True
1733,8201826598_6,0,0,0,0,0,0,2138,why does the person point to in between to the boy,CW,direct the boy s attention,direct him to sing,get the paint,counting something,want a sweet,True,False,True,True,True,True,True
1746,2925748611_7,0,0,0,0,0,0,355,what did the person press after the transfer is completed,TN,back button,bow down,smiles,start writing,raise his hand,True,False,True,True,True,True,True
1750,2414043078_9,0,0,0,0,0,0,709,why did the man in red turn to the man in white after talking to the man in yellow,CW,to talk to the man,hit him,draw a flower,let him play with the toy,read a book,True,False,True,True,True,True,True
1757,4742652230_1,0,0,0,0,0,0,634,how did the girl decorate her head,CH,wear a crown,dye her hair,helmet,using clips,wear sunglasses,True,False,True,True,True,True,True
1763,4080877621_5,0,0,0,0,0,0,658,how did the man see the lady clearly,DO,wear spectacles,lean forward,standing,hand gestures,use hand gestures,True,False,True,True,True,True,True
1764,4672625782_5,0,0,0,0,0,0,1635,what does the man in white do after the man sitting in front of the boat pulls the rope at the front of the boat,TN,tie rope to platform,jump up and down,touch the water,point at boats,eat something,True,False,True,True,True,True,True
1765,3477094374_1,4,4,4,4,4,4,1824,what does the movement of arms and legs of the baby signify,DO,anger,scared,curious,touch dog,excitement,True,False,True,True,True,True,True
1796,2434450989_4,0,0,0,0,0,0,1616,what did the man with the guitar do after he finished playing at the end of the video,TN,walk away,fell down,turns toward the cameraman,check his pants,let go of the microphone,True,False,True,True,True,True,True
1808,5012237466_0,4,4,4,4,4,4,1386,why is the child in stripes squatting near the fountain,CW,playing with toys,touching rabbit,play with phone,to observe ants,playing with water,True,False,True,True,True,True,True
1835,5297426137_2,4,4,4,4,4,4,1227,why did the girl pull the boy s hair,CW,annoyed with the boy,she is bored,prevent it from blocking her sight,guide his walking,disturb him,True,False,True,True,True,True,True
1861,10728284944_7,0,0,0,0,0,0,2427,how does the girl use body language to demonstrate what she is saying,CH,use hand gestures to demonstrate,point towards video,keep clapping,playing with her hair,use laser pointer,True,False,True,True,True,True,True
1865,6279934011_7,0,0,0,0,0,0,1817,why is the girl smiling,CW,happy,being tickled,following lady in white,enjoy skiing,posing for camera,True,False,True,True,True,True,True
1881,3425409935_3,4,4,4,4,4,4,2594,why is the lady holding stick at the back of car repeatedly,CW,part of exercising,express excited,pull the car from grass,bend down to check on baby,control car direction,True,False,True,True,True,True,True
1888,4161474420_4,1,1,1,1,1,1,850,how did the baby react when the lady hugged him,CH,kick lady,look at lady,throw toy at lady,playing with balloon,kiss lady,True,False,True,True,True,True,True
