,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
62,3739319683_0,4,3,4,4,4,4,2548,why did the the woman with apron bend down after moving to the left of the stage,CW,performance ended,throw down drinks,distracting others,pick up something,to come down,False,True,False,False,False,False,False
65,6000221920_2,4,3,1,4,4,4,1302,why is the man in green playing the instrument wearing a cap,CW,to camouflage,ear protection,to protect from the snow,to protect from the sun,fit his outfit,False,True,False,False,False,False,False
68,3701219945_3,0,4,3,3,0,0,1301,why is there a woman dancing and moving along next to the car,CW,dancing with the girl,mimicking the tv show,perform for the audience,talking,express excited,False,True,False,False,False,False,False
69,4489511133_0,3,4,3,3,1,1,886,why did the girl put her head so close to the phone,CW,conducting interview,talk,check message,look at photos,kissing it,False,True,False,False,False,False,False
73,5826069843_3,1,0,1,1,4,1,612,what did the boy do after he flipped the boat over,TN,stablise himself,paddle,fall down,shake hands,stand up,False,True,False,False,False,False,False
77,8148337178_1,3,0,3,3,4,4,2697,why did the lady with curly hair hold onto her microphone at the end,CW,adjusting it,make hand gestures,waiting for her turn to dance,shout out to the other vocalists,talking to the crowd,False,True,False,False,False,False,False
82,2733959191_6,2,3,1,1,0,1,2697,what are the colours of the light on stage,DO,green,blue,yellow,white,black,False,True,False,False,False,False,False
86,3305288577_4,2,4,2,2,1,1,780,what did the girl do at the end of the video after holding her cheeks for a while,TN,pick up something,pose,turn to baby and play,run to camera,crawl away,False,True,False,False,False,False,False
87,13503538465_3,1,3,1,1,1,1,416,how did the girl get from one bed to another,CH,from man s shoulder,jump on the bed,moves the towel with hands,jump over,standing,False,True,False,False,False,False,False
92,3386797396_2,3,1,3,3,4,3,345,how did the man tried to film the goat,CH,use phone,put camera in front of goat,points in the intended direction,camera at the back of goat,point at cameramen,False,True,False,False,False,False,False
100,2525831823_4,0,4,3,0,4,3,2244,what are the relations between the three people,DO,band members,puppet show,colleague,friend,team member,False,True,False,False,False,True,False
101,10985344225_2,0,4,0,0,0,0,2518,why does the person in the pink hat move his hand from his ear after the mechanism hits the bell the first time,CW,mechanism stop moving,got earmuff,leave the room,man move his hand,listen to the sound,False,True,False,False,False,False,False
107,5503178247_9,3,4,3,3,4,3,950,how did the boy in stripes react as he watches the baby play with himself,TC,take the toy,cries,copy the man,laugh,suck finger,False,True,False,False,False,True,False
112,4863455612_0,0,1,0,0,0,0,732,why are the people wearing gloves,CW,medical procedure,making a model,climbing rocky mountains,protect baby from getting sick,playing rugby,False,True,False,False,False,False,False
116,6936757706_11,1,0,3,4,1,4,600,what did the boy in red do after he eat one spoon of his ice cream,TN,look at the girl,he spat it out,pick it back up,continue eating,opens his mouth,False,True,False,False,False,False,False
117,3118473217_4,2,3,2,1,1,2,870,why are the children gathered there,CW,playing football,playing volleyball,in class,singing,for food,False,True,False,False,False,False,False
124,11794871936_4,1,0,4,4,4,2,438,how is the lady holding the baby,CH,place on her lap,carried on her back,hands support bum,hold his hands,hand,False,True,False,False,False,False,False
126,4794935391_4,4,1,4,4,1,3,430,why did the lady in red picked up the spoon on the table,CW,drinking soup,to eat ice cream,feeding the dog,feed little girl,to stir salad,False,True,False,False,False,True,False
131,8031010690_1,4,2,4,4,4,4,526,how did the baby feel while crawling onto the pillow,TC,frustrated,worried,having fun,calm,nervous,False,True,False,False,False,False,False
134,3492285627_6,1,2,3,1,0,3,1702,why does the baby stretch out his arm in the beginning of the video,CW,to feel baby s hand,to touch balloon,show camera,to eat,to stand,False,True,False,False,False,False,False
139,5338232189_2,4,1,3,4,1,3,560,what does the lady in white on the floor do as everyone was sitting around,TC,go to lady in stripes,unwrap something,adjust the girl s jacket,shuffle cards,play guitar,False,True,False,False,False,True,False
141,12427023395_8,4,2,4,4,1,4,832,how many people are there,DC,five,one,three,seven,two,False,True,False,False,False,False,False
147,2825594207_1,1,2,3,3,0,3,719,what were the other three people doing as the front dancer was dancing in the middle,TC,playing guitars,playing drums,stand at the back and watch,spinning in circles,lie in bed,False,True,False,False,False,False,False
154,10734790773_6,4,0,4,4,0,3,1126,what does the toddler in red bib do after the toddler in grey opens her mouth wide in the middle,TN,follow her action,goggle,walk off stage,smiles,hit her back,False,True,False,False,False,True,False
156,2399811629_0,0,1,2,2,4,0,485,why is the man in white sitting on the railings,CW,taking video,slide down,take photos of the girls,wanted to play with him,protect from sun,False,True,False,False,False,False,False
159,4641631235_1,4,2,4,4,4,1,1605,how did the girl knew which piano keys to play,CH,look at monitor,by memory,music score,follow the boy beside,refer to score,False,True,False,False,False,False,False
166,3769768941_8,2,3,2,2,3,0,666,why was there a ball on the grass nearing the end,CW,the dog rolled it over,dropped from the bicycle,a lady threw it,thrown by man,the kids brought it out,False,True,False,False,False,True,False
174,5912473393_2,2,1,2,2,1,2,1245,why does the man in white talk on the microphone towards the end,CW,ask cameraman to move,testing the microphone,giving presentation,make voice louder,to capture audience attention,False,True,False,False,False,True,False
178,3089919537_2,4,3,0,4,1,4,1140,why does the dog walk across the room at the end,CW,because of lady s gesture,raining outside,man raised the board,to be petted,grab attention,False,True,False,False,False,False,False
180,3655493767_2,1,4,0,3,0,0,615,what did the man in number 2 shirt do on his pants,CW,adjust tightness,change sizes,dip in water,change colours,wipe his hands,False,True,False,False,False,False,False
182,5509677964_9,0,2,4,4,4,4,389,why did the lady in purple walk away from the babies near the end of the video,CW,distracted,get floats,threw the ball,called by man,to get out of pool,False,True,False,False,False,False,False
183,5873037185_5,1,4,3,1,4,1,343,what does the lady in front do after looking at her left for a while at the start,TN,run,look to her side,drink from cup,said something,moves her bag away,False,True,False,False,False,True,False
185,4129080039_5,1,4,1,1,4,0,777,why does the further parrot spread out its wing a bit near the end of the video,CW,hold for support,fly away,shaking off water,playing,cleaning itself,False,True,False,False,False,True,False
188,3509821194_5,2,0,2,2,4,2,2430,how do the performers move their arms at the start,CH,use to open the fans,speaker and microphone,from left to right,from left to right,lady pushes girl forward,False,True,False,False,False,False,False
190,3672431760_6,1,3,1,1,1,4,765,why is the lady trying to get the twig from the dog,CW,treating dogs,keep it still,walking,to throw,playing fetch with dog,False,True,False,False,False,False,False
194,8069728449_1,2,3,2,2,4,2,1596,why is the man moving his fingers when he plays the guitar,CW,fingers were numb,posing for the camera,massaging his fingers,change the chord,keep up with the atmosphere,False,True,False,False,False,False,False
202,10905462446_2,0,3,0,0,0,0,370,why does everyone walk in the same direction,CW,one direction only,playing dancing game,discussing,headed to the same place,martial art outfit,False,True,False,False,False,False,False
207,5925869325_2,2,3,2,2,0,0,1770,how did the man in beige keep themselves warm,DO,blanket,gloves,socks,long sleeve shirt,beanie,False,True,False,False,False,False,False
211,5477272417_1,2,3,1,1,0,2,990,why is the man bent over at the start of the video,CW,take his glove,to pick up the stone,pick up a cloth,plant sapling,pick up the present,False,True,False,False,False,False,False
220,4315349265_2,1,2,3,3,4,3,1643,why are the man and the woman in front of the cake hold a knife,CW,put it aside,celebration,pose for camera,blow candle,to celebrate,False,True,False,False,False,False,False
224,5542785759_11,2,3,4,0,1,4,645,why is the lady in a tilted position throughout the video,CW,talk to baby,boy was there,holding girl,taking pictures,show the things in her hand,False,True,False,False,False,False,False
228,7163754671_7,3,0,3,2,4,2,369,why did the smaller white dog stick his face into the black dog in the middle,CW,trying to get its attention,tired,sniffing,play around,interested in the toy,False,True,False,False,False,False,False
229,4935001480_1,4,0,4,4,0,4,2697,why does the peacock put its head towards the rocks,CW,look for food,eating pieces of bread,to support when climbing,to support its movement,to look at the rocks,False,True,False,False,False,True,False
238,12068876905_3,0,1,3,3,4,3,1091,how does the man parachuting control the parachute,CH,using the sticks,tugs the string,hold onto each other,move them to vshape position,standing and looking,False,True,False,False,False,False,False
240,2956081853_7,2,0,2,2,1,3,540,what does the boy do after feeding the girl at the end,TN,look down,turn to her,pat her stomach,look at camera,stretch out arm,False,True,False,False,False,False,False
243,5678063296_3,2,3,2,2,0,2,2424,what is the person on the right doing,TC,waiting to get into plane,lie down,using laptop,standing up,breakdance,False,True,False,False,False,False,False
245,6317085607_2,2,1,3,4,4,4,2020,what does the man start doing after speaking for a while,TN,stops drinking,illustrate his points,take food,pass the microphone to lady,adjust paper,False,True,False,False,False,False,False
246,3697296215_4,2,3,1,0,0,1,439,what was the man sitting at the table doing,TC,standing and talk,playing with toys,watching television,watching them,point at the sea,False,True,False,False,False,False,False
254,3308258691_4,0,4,0,0,4,0,469,why is the person holding a tote bag standing beside the piano at the start of the video,CW,talking,feed the snake,closing door,referring to cat,fascinated,False,True,False,False,False,True,False
258,5542785759_6,0,1,4,4,0,4,645,how does the lady in mustard takes the picture of food,CH,with her fingers,bending down,squeeze the fruit,with her hands,use tongs,False,True,False,False,False,False,False
263,2500623285_8,0,1,2,2,3,2,450,why did the dog stopped running after he ran up to the sand,CW,stop to watch the firework,running from the waves,try to get his leg out,play with another dog,stoppped by man,False,True,False,False,False,False,False
270,3522190635_2,0,1,0,2,0,0,1068,how did the boy get to the position of lying on his stomach,DO,legs crossed,turns around,on lady s lap,rolled after jumping,lady moves it,False,True,False,False,False,False,False
273,4544425606_4,0,2,0,0,0,0,806,what is the bird doing while it stood on the man s gloves,TC,resting,sleeping,eating,move its head,flying,False,True,False,False,False,False,False
278,3086276600_2,3,2,3,3,4,3,2697,what was the lady in orange doing at the start of the video while the boy was swinging,TC,pointing to signboard,turns around,push the boy,sitting on a bench,throw it,False,True,False,False,False,False,False
284,2603758280_4,2,4,1,1,1,1,1846,what does the person in white do at the end of the video as the couple was paragliding in the air,TC,faces the cat,raise up her hands,legs,gets lower,walk up,False,True,False,False,False,False,False
286,6306690515_2,3,1,0,3,0,0,543,why does the cat go away from the person,CW,get caressed,explore other places,to shower,wants to continue playing catch,wants to find the elephant,False,True,False,False,False,False,False
288,6706220611_5,3,2,3,3,4,3,2697,why did the baby move and shift the 2nd pillow that he touched before lying onto it,CW,resting,to get up,arrange two pillows close together,to change to the other pillow,slipped,False,True,False,False,False,False,False
290,2662773013_5,0,4,0,0,0,0,975,what does the man do after drinking from the box,TN,open a box,touch his fingers,said something,stops drinking,nods his head,False,True,False,False,False,False,False
293,4665788205_2,1,0,1,1,1,1,708,why do the men lean towards one side at the end,CW,performing acts,to drink,exercise,supervising boy,to move objects out of the way,False,True,False,False,False,False,False
302,4642870129_1,0,4,3,3,0,3,356,what is the man doing as the boy cycles,TC,playing,dance battle,watching television,cycling,running,False,True,False,False,False,False,False
306,5396384503_3,1,0,1,4,4,4,345,how are these ducks looking like in the video,TC,relaxed,cold,hot,shivering,struggling to stay afloat,False,True,False,False,False,False,False
317,2399811629_1,4,2,4,4,4,4,485,why are there people standing near the stairs and looking at the white man,CW,man is dancing,listen to music,see man sliding down stairs,see man cooking food,man is repairing the stairs,False,True,False,False,False,False,False
324,2982867777_4,3,2,3,3,4,3,1374,what did the lady do when the dog tried to approach her in the middle of the video,TC,looked at camera,run forwards,move backwards,talk,run towards the kitchen,False,True,False,False,False,False,False
329,6004462245_4,3,2,3,3,4,3,2474,why did the girl extend her hand to bring the apple to the dog,CW,feed the cat,pick up toy,want to feed it,touch the dog,to caress the goat,False,True,False,False,False,False,False
334,3812429626_2,3,1,0,3,1,2,1191,why does the man in red turn the camera to himself in the middle of the video,CW,look at phone,to talk to it,to check his face,to fix the camera ,blow dust off lenses,False,True,False,False,False,True,False
337,2406887888_0,0,1,0,0,0,0,2696,why did the baby crawl to the back of the sofa,CW,playing,attracted by the cat,softer,prevent falling,distracted,False,True,False,False,False,False,False
338,3521537861_11,3,2,1,3,0,1,2697,what activity are the people in the video doing,TC,trekking,drinking and talking,barbeque,people dancing,fishing,False,True,False,False,False,False,False
339,5139599690_4,2,4,2,2,4,2,633,what does the man in black do as the boy was cutting the wood,TC,turn away,stretch his hands,move his hand over the ground,smile into the camera,bend over and look,False,True,False,False,False,True,False
344,5131508387_1,1,4,1,0,1,1,1488,why is the cat scratching the ribbons at the start of the video,CW,bored,curious,waiting for owner,waiting for another toy,playing with it,False,True,False,False,False,False,False
350,6516498145_1,2,0,2,2,4,2,599,why did the lady stretch her hand out to the girl at the end,CW,hi-five,posing for photograph,carry her,holding the dog s collar,pick up pebbles,False,True,False,False,False,False,False
355,8857007026_2,4,2,4,4,4,0,2639,How did the man in black do after the man in red did in the middle,TN,hold on rod,stand in position,jump over to the platform,throw the ball,turns and looks at him,False,True,False,False,False,False,False
363,2657975235_9,2,1,0,2,4,0,350,how many people were looking at the man when he stood up from his chair,DC,four,five,one,six,eight,False,True,False,False,False,False,False
371,4060545487_0,1,2,1,1,4,1,457,what is the relationship between the boy on the horse and the man holding the horse,DO,headphones,owner,trainer trainee,father offspring,toy car,False,True,False,False,False,False,False
372,3701219945_6,0,1,0,0,1,2,1301,how does the woman in black dress gets in the front seat,CH,jump,running,wear thick clothes,pick up from table,lady in white pulling rope,False,True,False,False,False,True,False
375,6996441724_8,0,4,2,2,0,2,1464,how does the boy react after the lady starts laughing,TN,laughing,holds the baby,look at her,lie down,look at camera,False,True,False,False,False,False,False
377,5183812946_3,0,1,3,3,1,3,1225,why does the girl open the drawer near the end,CW,to keep dogs,keep sponge,keep the toy,reach the cake,take the spoon,False,True,False,False,False,True,False
380,2500623285_10,3,4,3,3,4,3,450,How is the dog positioned before the wave comes,TP,jump up,lie on its back,sitting on stone,standing,lie on its belly,False,True,False,False,False,True,False
386,7011018565_3,2,4,2,2,4,2,1994,how does the man show his affection towards the black dog at the beginning,CH,puts it on a leash,carry her up and down,rubs the dog,ignore it,pat its neck,False,True,False,False,False,True,False
391,3294811247_0,3,0,2,1,4,4,603,why were the people running in circles at the start,CW,hit the ball,to get the kite handle,play catch with the ball,chasing the car,show excitement,False,True,False,False,False,False,False
392,2500623285_9,1,3,1,1,0,1,450,why did the man stood up after digging a hole with his leg,CW,get a better balance,put his legs inside the hole,to greet the lady,waves,posing,False,True,False,False,False,False,False
396,11794871936_3,1,4,1,1,1,1,438,why did not the lady smile and become serious suddenly at the beginning,CW,wet her clothes,baby cries,cannot open the box,drop the baby,talk to boy,False,True,False,False,False,False,False
397,12753577835_7,2,3,2,2,1,1,840,who threw the green balloon,DO,both of them,girl wearing pink,kids,boy in white,taller boy,False,True,False,False,False,False,False
404,5791729526_8,3,4,2,3,4,2,2628,are there many people in the room,DO,eight,ten,four,five,seven,False,True,False,False,False,True,False
405,3739867574_8,4,2,0,0,0,0,2160,why is the man in black stepping his foot in the middle of the video,CW,done playing change instrument,stepping on bug,counting beats,flattening a box,stepping on pedal,False,True,False,False,False,False,False
408,3093095651_5,4,0,4,3,4,4,641,what did the blonde woman do after watching the man wearing black shirt dancing,TN,drink water,walking,bored,stand still,walk in,False,True,False,False,False,False,False
410,3516935615_3,1,4,1,1,4,1,1515,why did the cameraman touch the white cloth after the middle part of the video,CW,using his phone,take video from different angle,get ready to hit ball,lost balance,play with dog,False,True,False,False,False,True,False
413,4123808525_5,4,2,1,4,1,4,570,how was the head made to move,CH,wear helmets,moving his legs,turn the model,happy,powered by batteries,False,True,False,False,False,False,False
415,5602364659_10,1,4,1,1,1,1,1803,why did the baby run back towards the dad after getting off the sofa,CW,starting point,to hide,stability,to get food,ride again,False,True,False,False,False,False,False
417,9072405003_6,2,0,2,1,1,2,448,what did the cat do after it pulled down the feather duster,TN,try to bite,retreat backwards,walked away,sit up,walks across,False,True,False,False,False,False,False
420,4124400853_5,1,0,1,1,4,1,1692,how did the lady in red touch the baby in the video,CH,under the armpits,tap shoulder,hit it,bite it,kick it,False,True,False,False,False,False,False
438,4220559457_6,3,0,3,3,0,4,1495,why does the dog bite the corner of the pillow,CW,to move pillow,hit dog,showing affection,playing,hungry,False,True,False,False,False,True,False
439,4631119360_3,1,0,4,4,3,4,1049,what is the boy holding while running on the beach,TC,a scooper,plush toy,handful of sand,a bucket of water,a seashell,False,True,False,False,False,False,False
440,2818950014_6,1,4,2,2,4,0,739,what did the little girl do after looking at the camera,TN,gesture,walk away,hug the woman,put down her club,smiles and waves hand,False,True,False,False,False,True,False
451,7149839527_4,1,4,3,0,4,1,1186,what did the boy do after he pat the baby s head,TN,sit up,take baby s shirt off,close eyes,wishper in his ear,smile,False,True,False,False,False,True,False
452,2637691975_2,1,3,1,4,4,1,653,why did the dog flap its paws after standing on its feet,CW,he is happy,show excitement,jump and fight,reach for treat,to snatch the toy,False,True,False,False,False,False,False
453,5481728773_8,4,1,4,4,4,2,1002,what did the man do after patting the girl s back at the start,TN,touch his hand,look at camera,held hand with woman instead,moved his head too,put hand on his heart,False,True,False,False,False,False,False
461,7828681900_8,1,2,1,4,4,4,544,what are the two birds nearer the water doing,TC,walk a few steps,hopping,looking around,hunting for fishes,moving away from the water,False,True,False,False,False,False,False
464,6036834934_4,0,1,3,3,0,0,439,why did the lady in apron move her head left and right repeatedly,CW,dancing,scrapping the lady s feet,part of the dance routine,moving baby s hands,carry baby,False,True,False,False,False,False,False
471,6764465247_0,4,2,4,4,0,1,2430,how did the lady move her hands,CH,touch her hair,adjust nametag,in front of her body,adjust watch on hand,touch the man,False,True,False,False,False,False,False
472,3608098943_3,2,4,3,2,1,3,649,how many people are hanging out,DC,seven,eleven,two,six,eight,False,True,False,False,False,False,False
473,13503538465_2,4,0,4,4,1,4,416,why did the girl get up after she fell onto the bed,CW,ready to go off,woken by the lady,playing with baby,defend itself,can not step,False,True,False,False,False,False,False
486,3384417792_7,4,0,3,2,1,3,2457,what did the girl do near the end of the video,TC,points towards herself,walking,picks up her phone,show screen to camera,clap her hands,False,True,False,False,False,False,False
490,6994417868_2,3,4,3,3,1,2,421,judging from the design what does the toy organ mimic,DO,karaoke,art show,music notes,the girl,cat,False,True,False,False,False,False,False
491,2493035685_0,1,4,1,1,4,1,2248,why did the lady in orange and girl in white walk together around the stage,CW,prevent her from coming,performing,teaching,to take a picture with them,to show her where to walk,False,True,False,False,False,True,False
493,5650793185_1,1,4,1,1,0,1,929,why does the man put his hands on the back of the baby everytime she swings back,CW,give baby affection,give baby support,want to stop toy from moving,to carry baby,rocking the baby,False,True,False,False,False,False,False
502,4242382178_3,0,3,4,0,4,4,1176,why does the lady in green starts clapping near the end,CW,acting,present something,dance routine,following rhythm,emphasise point,False,True,False,False,False,False,False
510,4979527132_8,4,0,4,4,1,4,773,how does the boy react when the lady starts talking to him in the middle,TC,looks at camera and talk,looks downwards,look to his book,stand up,look at the lady,False,True,False,False,False,False,False
512,4511691550_2,2,1,0,2,4,3,1971,why does the man collects the balls around the girl,CW,wants to play by himself,use it again,teach her to throw balls,to pass to the girl,to throw away,False,True,False,False,False,False,False
513,4657161080_3,3,0,2,3,0,3,804,why does the man in the middle raise his left arm at the end of the video,CW,gesture to stop,checking,to pose for the camera,adjust cuffs,play with boy,False,True,False,False,False,True,False
517,4489511133_8,0,1,0,0,0,0,886,what device is the girl using in the video,DO,tablet,phone,camera,video film,polaroid,False,True,False,False,False,False,False
523,4293949179_6,0,3,0,0,0,0,300,how does the baby feel while being kept in the knapsack,TC,happy,calmer and happier,cool,restricted,nervous,False,True,False,False,False,False,False
524,8283116453_2,2,3,4,4,4,2,1116,what does the woman in purple do after the two musicians finished their performance,TN,hands over the remote,nod head and stares,clap,stand up,point at the music script,False,True,False,False,False,False,False
530,5772591393_1,2,3,1,1,1,4,920,what did the dog on the bottom left do after one of the puppy went away near the beginning,TN,pat the dog,play with the blanket on the floor,walk away,looks around,lie down,False,True,False,False,False,False,False
534,7158973140_6,1,0,1,1,0,1,641,what is the baby doing as she bites on the toy,TC,fidgeting,relaxing,rolling around,exercise,looking at camera,False,True,False,False,False,True,False
538,2402178262_0,3,0,3,3,4,3,1285,how are the two men dancing,CH,randomly,hold her hand and spin,move handle,holding hands,pull it,False,True,False,False,False,False,False
544,3360428599_4,0,4,0,0,0,0,551,what does the lady do each time the leopard tries to jump for the toy,TC,let leopard catch it,move back,throw treats,let go of the swing,moves the toy away,False,True,False,False,False,False,False
559,4740345442_7,3,0,4,1,1,4,894,what does the girl in blue do after the girl in black gets off the wooden plank,TN,swing again,clap,swing for the first time,move backwards,start pulling the rope again,False,True,False,False,False,False,False
569,10128261054_4,0,1,2,2,4,0,571,what does the fencer on the left do after he lunged forward to attack the fencer on the right at the end,TN,turned around to dodge,walk away,moves back,run around with horse,dance,False,True,False,False,False,False,False
570,9289576155_2,1,3,4,4,1,1,1196,why do the cats walk away from the carpark at the middle of the video,CW,drink,want to play,interested in it,for food,distracted,False,True,False,False,False,False,False
574,10128261054_8,4,0,2,2,4,3,571,what does the man in black do after walking out to the side,TN,check something on the pillar,pick up the sauce,stand beside,handshake,ride away,False,True,False,False,False,False,False
577,6996441724_3,4,0,3,3,1,4,1464,what colour is the girl wearing,DO,green,yellow,purple,black,white,False,True,False,False,False,False,False
580,3598384046_4,1,2,1,1,4,1,2253,what does the baby do while putting his finger in his mouth,TC,yawns,chew,smile,feed baby,touch his head,False,True,False,False,False,False,False
590,11794880314_6,1,4,1,1,1,1,1549,why did the girl put the rocket back on the table near the end,CW,for girl to ride forward,mimic rocket movement,wanted to sit,to drink,mimic landing,False,True,False,False,False,False,False
591,7580367082_2,4,3,4,4,1,4,2052,where could this be happening,DL,bouncy castle,outdoor,in a shop,hospital,house,False,True,False,False,False,False,False
593,4346015300_2,1,0,1,1,1,1,575,how does the object on the screen move,CH,up and down,rotating,do not move,follow man s fingers,cicling in same place,False,True,False,False,False,False,False
598,6660008425_1,4,2,3,1,1,1,575,what did the girl on the right do after lifting the cup up,TN,looked down at ground,give out glass,drink from straw,move closely to the camera,remove the drinks,False,True,False,False,False,False,False
602,3294811247_7,2,1,2,2,4,4,603,what did the man in green do after the man in blue hit the ball,TN,dropped,point,put golf ball on floor,bounce it,hit with bat,False,True,False,False,False,False,False
603,7303386938_2,3,0,3,3,1,3,2616,what did the baby do when he reached the other sofa,TC,drink,move his arms,shows his the teddy bear,sit on sofa,get up,False,True,False,False,False,False,False
604,5219491835_8,0,1,0,0,0,3,705,why is the baby in shade,CW,under umbrella,in pram,underground,with cap,the lady pull the curtain,False,True,False,False,False,False,False
612,3835096097_7,4,3,1,1,4,4,528,what does the fatter man do after walking back to his original position at the end of the video,TN,turns toward the cameraman,stand up,hug boy,start again,put his arms out,False,True,False,False,False,False,False
613,4954732488_4,4,3,0,0,0,0,1587,what do the two people at the back do as the lady in yellow is driving the car,TC,take photos,eat,shake their heads,chit chat and laugh,get out of car,False,True,False,False,False,False,False
618,2525831823_6,2,4,0,1,4,1,2244,what does the three musicians do after finishing singing at the end,TN,clapping,smile,play the guitar,move backwards,put mic on stand,False,True,False,False,False,True,False
623,2621535368_1,3,0,3,3,4,3,963,why did the baby stop crying briefly at the middle of the video,CW,got the toy back,change direction,ticklish,natural reaction to dust,the safety guard protect the baby,False,True,False,False,False,False,False
624,10128261054_1,2,1,2,2,0,4,571,what does the fencer on the right do after he was hit by the fencer on the left at the end,TN,walk away,avoid,start swinging,stab the person,bend his body,False,True,False,False,False,False,False
637,2758300055_6,2,1,2,2,4,2,1473,how does the adults feel while having the conversation,TC,worried,serious,happy,proud,smiling,False,True,False,False,False,False,False
639,8268305522_2,3,1,3,3,4,3,900,why is the penguin at the back flipping its wings in the middle of the video,CW,balance,escaping,learning,trying to fly,exited for food,False,True,False,False,False,False,False
644,4188739935_7,2,3,2,2,4,1,2116,what did the woman do after the boy raised his hand at the start of the video,TN,looked at camera,push green obstacle away,touch his head,bend down,smile,False,True,False,False,False,False,False
653,11277683376_4,3,2,3,3,4,4,531,why were they smiling when they fell to the ground,CW,the camera panned up to him,he likes the food,part of performance,excited,got hit,False,True,False,False,False,False,False
665,3217049754_0,2,0,4,2,0,4,1251,why does the baby open its mouth,CW,yawning,playing in the snow,breathe,it s sunny,smile,False,True,False,False,False,True,False
677,4978371835_0,2,1,2,2,3,4,780,why is there a cloth beneath the baby,CW,floor mat,cushion and make baby taller,dry the baby,picnic,lady s scarf,False,True,False,False,False,False,False
680,9405704144_8,2,3,2,2,4,2,695,what is the baby holding on his left hand,DO,sibling,friends,toy airplane,a ball,giraffe toy,False,True,False,False,False,False,False
685,3747923836_2,2,0,2,2,0,2,935,why did the shirtless boy bend forward,CW,get the bike off water,wants to sit down,to jump into water,cycling,bowing,False,True,False,False,False,True,False
691,5969368435_0,1,3,2,4,4,2,2512,why is the man lying on the ground at the start keep kicking his legs,CW,do nt need rock support,bull moving too violently,falls,to slide down,to support himself,False,True,False,False,False,False,False
696,5736690354_2,1,3,1,0,0,1,2697,why is there a shadow of man raising his hands near the beginning,CW,showing encouragement,waving to horse,just walking by,film the man riding,carrying something on his back,False,True,False,False,False,False,False
698,6036834934_5,3,1,3,4,1,4,439,why is the lady s leg not moving,CW,checking the back wheels,hold still for pedicure,dirty,sleeping,small space,False,True,False,False,False,True,False
701,3759139293_1,4,0,4,4,4,4,416,why does the adult feed the baby very slowly at the beginning,CW,not to splash the food,put him on sled,enjoy being rubbed,leave food residue,play with baby,False,True,False,False,False,False,False
704,6875806550_8,3,1,3,4,4,4,780,how did the man attempted to make the baby laugh near the end of the video,CH,holds the baby with his hands,kiss,bend down,rub his head against baby,touch baby s head,False,True,False,False,False,False,False
