video_id,video_path,caption,result1,action_caption,video_frames
9528960175,/mnt/adithya/test/9528960175.mp4,a baby is sitting on a bed and drinking from a bottle and shaking his head.,reading book,reading book. a baby is sitting on a bed and drinking from a bottle and shaking his head.,"[1, 6, 7, 11, 13, 15, 17, 22, 27, 30, 32, 33, 37, 39, 41, 42]"
9289576155,/mnt/adithya/test/9289576155.mp4,a cat is running and jumps over a hurdle and then a cat runs past him.,training dog,training dog. a cat is running and jumps over a hurdle and then a cat runs past him.,"[1, 2, 6, 8, 9, 10, 11, 12, 29, 32, 32, 33, 33, 34, 34, 35]"
4188739935,/mnt/adithya/test/4188739935.mp4,a young boy rides a red motorcycle around a public area.,riding scooter,riding scooter. a young boy rides a red motorcycle around a public area.,"[0, 1, 5, 7, 9, 10, 11, 14, 37, 37, 38, 39, 50, 51, 60, 61]"
4544425606,/mnt/adithya/test/4544425606.mp4,a man is holding a bird in his hand and talking to a man.,cleaning windows,cleaning windows. a man is holding a bird in his hand and talking to a man.,"[0, 1, 2, 3, 4, 5, 6, 8, 17, 19, 20, 25, 25, 27, 27, 27]"
6885309190,/mnt/adithya/test/6885309190.mp4,a baby is sitting in a baby seat and shaking his head back and forth.,sticking tongue out,sticking tongue out. a baby is sitting in a baby seat and shaking his head back and forth.,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 11, 12, 12, 13, 13, 14, 15]"
9072405003,/mnt/adithya/test/9072405003.mp4,a cat is walking on a floor and a person is trying to get the cat to the,petting cat,petting cat. a cat is walking on a floor and a person is trying to get the cat to the,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 9, 9, 9, 10, 11, 11, 12]"
9371342049,/mnt/adithya/test/9371342049.mp4,two people are throwing knives at a tree in a wooded area.,tai chi,tai chi. two people are throwing knives at a tree in a wooded area.,"[0, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 6, 7, 8, 9, 11]"
7064920441,/mnt/adithya/test/7064920441.mp4,a baby is sitting on a man's lap and is laughing while he is drinking from,shaking head,shaking head. a baby is sitting on a man's lap and is laughing while he is drinking from,"[1, 2, 3, 4, 6, 13, 15, 16, 49, 50, 50, 52, 55, 56, 58, 59]"
2704509130,/mnt/adithya/test/2704509130.mp4,a group of people are playing a game of dodgeball on a court.,shooting goal (soccer),shooting goal (soccer). a group of people are playing a game of dodgeball on a court.,"[0, 1, 2, 2, 3, 4, 5, 5, 5, 6, 6, 7, 8, 9, 11, 13]"
11342887364,/mnt/adithya/test/11342887364.mp4,a man and a woman are dancing in a room.,country line dancing,country line dancing. a man and a woman are dancing in a room.,"[0, 1, 2, 3, 4, 5, 6, 8, 14, 14, 17, 17, 17, 17, 18, 19]"
3579030253,/mnt/adithya/test/3579030253.mp4,a small dog is running around and a person is throwing a towel to the floor.,petting cat,petting cat. a small dog is running around and a person is throwing a towel to the floor.,"[0, 2, 4, 6, 9, 10, 16, 17, 18, 22, 22, 29, 29, 30, 31, 38]"
3205604574,/mnt/adithya/test/3205604574.mp4,a young boy and a girl are dancing in a room with a tv.,playing recorder,playing recorder. a young boy and a girl are dancing in a room with a tv.,"[0, 6, 7, 8, 10, 14, 18, 22, 42, 48, 48, 49, 50, 55, 56, 57]"
11169386614,/mnt/adithya/test/11169386614.mp4,a group of people are running and jumping around in a basket.,gymnastics tumbling,gymnastics tumbling. a group of people are running and jumping around in a basket.,"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 13, 14, 14, 15]"
4827069441,/mnt/adithya/test/4827069441.mp4,a little girl is sitting on the ground and petting a goat.,petting cat,petting cat. a little girl is sitting on the ground and petting a goat.,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 11, 11, 11, 12, 12, 12]"
3425409935,/mnt/adithya/test/3425409935.mp4,a baby is sitting in a toy car and a man is pushing the baby in the car,driving car,driving car. a baby is sitting in a toy car and a man is pushing the baby in the car,"[0, 2, 4, 6, 7, 9, 17, 20, 51, 55, 56, 58, 59, 61, 61, 62]"
4129080039,/mnt/adithya/test/4129080039.mp4,a woman is holding a bird in her hand and is feeding it.,petting animal (not cat),petting animal (not cat). a woman is holding a bird in her hand and is feeding it.,"[0, 1, 2, 3, 4, 5, 6, 13, 17, 17, 18, 19, 19, 20, 20, 21]"
6579160577,/mnt/adithya/test/6579160577.mp4,a little boy is playing the piano while a woman is playing the piano.,playing organ,playing organ. a little boy is playing the piano while a woman is playing the piano.,"[0, 1, 2, 3, 4, 6, 7, 8, 26, 26, 28, 30, 31, 31, 33, 34]"
6097011028,/mnt/adithya/test/6097011028.mp4,a woman is holding a book while another woman is talking to her.,auctioning,auctioning. a woman is holding a book while another woman is talking to her.,"[0, 3, 5, 6, 7, 8, 10, 11, 27, 27, 31, 32, 36, 36, 37, 39]"
4651795201,/mnt/adithya/test/4651795201.mp4,a group of people are cooking in a kitchen and one is cooking food on a stove.,frying vegetables,frying vegetables. a group of people are cooking in a kitchen and one is cooking food on a stove.,"[1, 3, 10, 13, 14, 16, 18, 19, 45, 48, 53, 55, 60, 63, 64, 66]"
4890173699,/mnt/adithya/test/4890173699.mp4,a man is petting a tiger and talking to the camera.,petting cat,petting cat. a man is petting a tiger and talking to the camera.,"[0, 1, 3, 4, 6, 7, 8, 10, 29, 29, 31, 31, 32, 32, 35, 38]"
2876825076,/mnt/adithya/test/2876825076.mp4,a group of people are laughing and dancing in a room.,slapping,slapping. a group of people are laughing and dancing in a room.,"[0, 1, 1, 2, 3, 3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 13]"
7004238086,/mnt/adithya/test/7004238086.mp4,a cat is sitting on a couch and a person is sitting on a couch.,moving furniture,moving furniture. a cat is sitting on a couch and a person is sitting on a couch.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 8, 9, 10, 11, 13, 13]"
5866947362,/mnt/adithya/test/5866947362.mp4,a man is sitting on a couch with a little girl and she is reading a book to,answering questions,answering questions. a man is sitting on a couch with a little girl and she is reading a book to,"[1, 3, 5, 7, 8, 9, 11, 15, 36, 37, 37, 37, 39, 44, 45, 47]"
6801869574,/mnt/adithya/test/6801869574.mp4,a man is pulling a child on a sled down a hill.,bobsledding,bobsledding. a man is pulling a child on a sled down a hill.,"[0, 1, 2, 3, 4, 5, 6, 7, 14, 14, 14, 14, 16, 17, 17, 17]"
2794873229,/mnt/adithya/test/2794873229.mp4,a person is petting a cat that is laying on a bed.,petting animal (not cat),petting animal (not cat). a person is petting a cat that is laying on a bed.,"[0, 1, 4, 6, 7, 8, 10, 11, 30, 31, 34, 35, 36, 37, 38, 38]"
4625256813,/mnt/adithya/test/4625256813.mp4,a man is doing some tricks on a skateboard in a garage.,parkour,parkour. a man is doing some tricks on a skateboard in a garage.,"[0, 1, 2, 3, 4, 5, 9, 11, 15, 15, 19, 19, 20, 20, 20, 21]"
5508995205,/mnt/adithya/test/5508995205.mp4,a woman is holding a baby and she is holding her arms in the pool.,jumping into pool,jumping into pool. a woman is holding a baby and she is holding her arms in the pool.,"[2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 20, 23, 24, 24, 27, 28]"
2579825280,/mnt/adithya/test/2579825280.mp4,a group of people are walking through a river and then they are running.,crossing river,crossing river. a group of people are walking through a river and then they are running.,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 7, 8, 9, 11]"
5624778109,/mnt/adithya/test/5624778109.mp4,a man is sitting on a beach holding a dog and he is holding a dog.,eating ice cream,eating ice cream. a man is sitting on a beach holding a dog and he is holding a dog.,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 11, 11, 12, 12, 15, 15, 17]"
11589691386,/mnt/adithya/test/11589691386.mp4,an old man is walking down the sidewalk and then a man is talking to him.,whistling,whistling. an old man is walking down the sidewalk and then a man is talking to him.,"[1, 4, 6, 10, 12, 13, 15, 19, 60, 60, 63, 64, 64, 66, 67, 69]"
8886103892,/mnt/adithya/test/8886103892.mp4,a boy is using a tool to cut a wooden board.,bee keeping,bee keeping. a boy is using a tool to cut a wooden board.,"[0, 1, 2, 3, 4, 4, 4, 5, 5, 6, 6, 7, 8, 9, 11, 13]"
3255908815,/mnt/adithya/test/3255908815.mp4,a baby is laying on the floor drinking from a bottle and then he drops it.,laughing,laughing. a baby is laying on the floor drinking from a bottle and then he drops it.,"[1, 2, 4, 5, 6, 7, 8, 10, 12, 12, 13, 17, 17, 18, 20, 22]"
3086276600,/mnt/adithya/test/3086276600.mp4,a boy is swinging on a swing and then he falls off.,parkour,parkour. a boy is swinging on a swing and then he falls off.,"[1, 5, 9, 10, 12, 14, 16, 18, 57, 65, 70, 71, 71, 73, 79, 80]"
4839003204,/mnt/adithya/test/4839003204.mp4,a woman is sitting in a chair and a man is trying to lick her ear.,shaving head,shaving head. a woman is sitting in a chair and a man is trying to lick her ear.,"[0, 1, 2, 3, 3, 3, 3, 4, 5, 5, 6, 7, 8, 9, 11, 12]"
3844880628,/mnt/adithya/test/3844880628.mp4,a little boy is running around a room with a ball and throws it at the camera.,pushing cart,pushing cart. a little boy is running around a room with a ball and throws it at the camera.,"[0, 1, 2, 3, 4, 5, 7, 8, 11, 11, 11, 12, 12, 13, 13, 14]"
7618872538,/mnt/adithya/test/7618872538.mp4,a woman is sitting on a chair with a baby and a boy is sitting in a chair,air drumming,air drumming. a woman is sitting on a chair with a baby and a boy is sitting in a chair,"[0, 1, 2, 3, 4, 5, 7, 9, 11, 11, 11, 12, 13, 13, 13, 14]"
3557601110,/mnt/adithya/test/3557601110.mp4,a person is riding a bike down a trail and falls off.,riding a bike,riding a bike. a person is riding a bike down a trail and falls off.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 10, 10, 10, 10, 10]"
4622742353,/mnt/adithya/test/4622742353.mp4,a person is holding a bird in their hand and feeding it.,petting animal (not cat),petting animal (not cat). a person is holding a bird in their hand and feeding it.,"[0, 1, 4, 5, 8, 9, 11, 12, 34, 35, 38, 40, 42, 42, 43, 46]"
6447803681,/mnt/adithya/test/6447803681.mp4,a woman is playing with a baby and the baby is playing with her.,sticking tongue out,sticking tongue out. a woman is playing with a baby and the baby is playing with her.,"[2, 3, 4, 6, 10, 10, 11, 12, 14, 15, 17, 19, 20, 21, 25, 31]"
5832442216,/mnt/adithya/test/5832442216.mp4,two people are fencing in a gym while a man watches.,lunge,lunge. two people are fencing in a gym while a man watches.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 10, 10, 10, 11, 13]"
3426605205,/mnt/adithya/test/3426605205.mp4,a baby is sitting in a high chair and eating food from a plate.,eating spaghetti,eating spaghetti. a baby is sitting in a high chair and eating food from a plate.,"[1, 2, 3, 5, 7, 9, 10, 11, 25, 26, 27, 31, 37, 37, 38, 39]"
4405327307,/mnt/adithya/test/4405327307.mp4,a band is playing music on stage while a band plays the bass.,playing clarinet,playing clarinet. a band is playing music on stage while a band plays the bass.,"[0, 1, 2, 3, 4, 5, 7, 10, 15, 15, 16, 16, 16, 17, 18, 18]"
10495085476,/mnt/adithya/test/10495085476.mp4,a man is doing a somersault on the grass and a little boy is running around,cartwheeling,cartwheeling. a man is doing a somersault on the grass and a little boy is running around,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 7, 9, 10, 11, 12, 14, 15]"
2779340329,/mnt/adithya/test/2779340329.mp4,a man is sitting on a train and a little boy is talking to him.,sneezing,sneezing. a man is sitting on a train and a little boy is talking to him.,"[0, 1, 2, 3, 4, 5, 6, 7, 18, 18, 19, 20, 23, 23, 24, 24]"
5338232189,/mnt/adithya/test/5338232189.mp4,a woman is playing a guitar while a boy is sitting on a couch next to her.,smoking,smoking. a woman is playing a guitar while a boy is sitting on a couch next to her.,"[0, 1, 2, 3, 4, 5, 6, 8, 12, 12, 13, 13, 14, 14, 15, 15]"
2400084970,/mnt/adithya/test/2400084970.mp4,two girls are walking down the sidewalk and one is trying to cross the road.,tap dancing,tap dancing. two girls are walking down the sidewalk and one is trying to cross the road.,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 9, 10, 11, 11, 12, 14, 15]"
4326843514,/mnt/adithya/test/4326843514.mp4,a baby is sitting on a woman's lap and blowing his nose.,making pizza,making pizza. a baby is sitting on a woman's lap and blowing his nose.,"[0, 1, 2, 3, 4, 5, 6, 7, 12, 12, 13, 13, 14, 14, 15, 15]"
2676529856,/mnt/adithya/test/2676529856.mp4,a little boy is walking around in a living room and then he starts to run.,eating doughnuts,eating doughnuts. a little boy is walking around in a living room and then he starts to run.,"[0, 1, 4, 5, 6, 8, 9, 10, 30, 31, 31, 32, 33, 35, 35, 35]"
3672431760,/mnt/adithya/test/3672431760.mp4,a woman is walking a dog on a leash while a dog runs around.,walking the dog,walking the dog. a woman is walking a dog on a leash while a dog runs around.,"[0, 1, 2, 3, 4, 5, 6, 8, 19, 19, 21, 21, 21, 21, 22, 23]"
3739319683,/mnt/adithya/test/3739319683.mp4,a group of people are watching a man throw a ball into a net.,playing ukulele,playing ukulele. a group of people are watching a man throw a ball into a net.,"[0, 6, 7, 9, 14, 17, 19, 20, 55, 58, 68, 68, 70, 72, 74, 75]"
7833012608,/mnt/adithya/test/7833012608.mp4,a man is holding a baby and the baby is drinking from a cup.,brushing teeth,brushing teeth. a man is holding a baby and the baby is drinking from a cup.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 8, 8, 9, 9, 9, 9]"
2969688375,/mnt/adithya/test/2969688375.mp4,a woman is showing a little boy how to carry a baby in a room.,robot dancing,robot dancing. a woman is showing a little boy how to carry a baby in a room.,"[0, 1, 2, 3, 4, 5, 9, 10, 13, 13, 14, 15, 15, 17, 17, 18]"
6000221920,/mnt/adithya/test/6000221920.mp4,a man is playing a musical instrument and then he walks away.,archery,archery. a man is playing a musical instrument and then he walks away.,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 15, 15, 16, 16, 17]"
4967866673,/mnt/adithya/test/4967866673.mp4,a woman is water skiing on a lake while being pulled by a boat.,jetskiing,jetskiing. a woman is water skiing on a lake while being pulled by a boat.,"[0, 2, 3, 4, 5, 6, 7, 8, 19, 19, 21, 22, 25, 27, 28, 33]"
3701219945,/mnt/adithya/test/3701219945.mp4,three men are riding a car through a desert area.,pushing car,pushing car. three men are riding a car through a desert area.,"[0, 1, 3, 4, 5, 6, 8, 10, 23, 23, 23, 25, 26, 28, 31, 31]"
4489511133,/mnt/adithya/test/4489511133.mp4,a little girl is playing with a phone and a man is talking to her.,eating ice cream,eating ice cream. a little girl is playing with a phone and a man is talking to her.,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 11, 12, 12, 13, 15, 17]"
8696216243,/mnt/adithya/test/8696216243.mp4,a woman is playing with a little boy and the baby is playing with toys.,decorating the christmas tree,decorating the christmas tree. a woman is playing with a little boy and the baby is playing with toys.,"[0, 1, 3, 4, 5, 7, 8, 9, 17, 17, 18, 19, 20, 20, 21, 22]"
3529392983,/mnt/adithya/test/3529392983.mp4,a baby is sitting in a baby walker and shaking his head no.,sticking tongue out,sticking tongue out. a baby is sitting in a baby walker and shaking his head no.,"[0, 2, 4, 5, 6, 7, 8, 9, 20, 21, 21, 21, 22, 23, 24, 28]"
4675888059,/mnt/adithya/test/4675888059.mp4,a man is pushing a small child on a toy car.,playing didgeridoo,playing didgeridoo. a man is pushing a small child on a toy car.,"[0, 1, 4, 7, 9, 12, 14, 15, 32, 32, 36, 37, 38, 43, 43, 44]"
5826069843,/mnt/adithya/test/5826069843.mp4,a man is trying to get his boat out of the water but fails.,water skiing,water skiing. a man is trying to get his boat out of the water but fails.,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 8, 9, 10, 10, 11, 12, 13]"
5207564483,/mnt/adithya/test/5207564483.mp4,a dog is barking and a woman is trying to grab a ball from the floor.,walking the dog,walking the dog. a dog is barking and a woman is trying to grab a ball from the floor.,"[0, 1, 2, 3, 4, 5, 6, 7, 14, 15, 15, 15, 15, 17, 18, 19]"
3425596660,/mnt/adithya/test/3425596660.mp4,two men are sitting at a table and talking into a microphone.,giving or receiving award,giving or receiving award. two men are sitting at a table and talking into a microphone.,"[1, 4, 5, 6, 8, 10, 12, 13, 26, 26, 26, 27, 27, 28, 29, 29]"
10728284944,/mnt/adithya/test/10728284944.mp4,two young girls are playing patty cake with each other.,robot dancing,robot dancing. two young girls are playing patty cake with each other.,"[0, 5, 6, 10, 13, 15, 17, 20, 40, 41, 43, 45, 45, 46, 49, 50]"
8148337178,/mnt/adithya/test/8148337178.mp4,a group of women are singing and dancing in front of a crowd.,sign language interpreting,sign language interpreting. a group of women are singing and dancing in front of a crowd.,"[10, 12, 13, 14, 15, 18, 20, 21, 50, 51, 51, 52, 52, 52, 52, 52]"
5965267539,/mnt/adithya/test/5965267539.mp4,two babies are sitting at a table and one of them is shaking his head.,massaging person's head,massaging person's head. two babies are sitting at a table and one of them is shaking his head.,"[0, 6, 9, 11, 12, 13, 14, 16, 57, 64, 67, 67, 68, 68, 74, 75]"
7828681900,/mnt/adithya/test/7828681900.mp4,a person is standing on a rock and feeding birds.,catching fish,catching fish. a person is standing on a rock and feeding birds.,"[0, 0, 0, 0, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]"
5275599750,/mnt/adithya/test/5275599750.mp4,a man is playing a pinball game in a arcade.,playing basketball,playing basketball. a man is playing a pinball game in a arcade.,"[0, 1, 7, 8, 9, 10, 12, 16, 35, 36, 38, 43, 49, 50, 56, 59]"
5880312109,/mnt/adithya/test/5880312109.mp4,a woman is holding a little girl and she is trying to get her to hug.,cartwheeling,cartwheeling. a woman is holding a little girl and she is trying to get her to hug.,"[0, 1, 1, 2, 3, 4, 5, 6, 7, 7, 9, 10, 12, 13, 14, 15]"
2733959191,/mnt/adithya/test/2733959191.mp4,a man is singing on stage while a crowd cheers.,singing,singing. a man is singing on stage while a crowd cheers.,"[0, 2, 7, 8, 12, 13, 14, 16, 33, 34, 35, 36, 37, 37, 40, 40]"
2669597217,/mnt/adithya/test/2669597217.mp4,a man is holding a fishing rod and then he is holding a fish in his hand.,feeding fish,feeding fish. a man is holding a fishing rod and then he is holding a fish in his hand.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 9, 10, 10, 10, 11]"
11848898333,/mnt/adithya/test/11848898333.mp4,a group of people are walking in a rocky area.,rock climbing,rock climbing. a group of people are walking in a rocky area.,"[0, 1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 9, 10, 11, 18, 19]"
4070768447,/mnt/adithya/test/4070768447.mp4,a baby is playing with a toy and then he picks up a toy and plays with it,laughing,laughing. a baby is playing with a toy and then he picks up a toy and plays with it,"[0, 1, 2, 3, 4, 5, 6, 7, 22, 22, 22, 23, 24, 25, 26, 26]"
3305288577,/mnt/adithya/test/3305288577.mp4,a man is playing with a young child and making him laugh.,tickling,tickling. a man is playing with a young child and making him laugh.,"[0, 1, 2, 3, 4, 5, 5, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
13503538465,/mnt/adithya/test/13503538465.mp4,two young children are playing on a bed and one of them is jumping up and down.,making bed,making bed. two young children are playing on a bed and one of them is jumping up and down.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 8, 9, 10, 11, 11, 11]"
3343269521,/mnt/adithya/test/3343269521.mp4,a cat is in the bathroom and a person is cleaning the toilet.,doing laundry,doing laundry. a cat is in the bathroom and a person is cleaning the toilet.,"[0, 1, 6, 7, 8, 9, 13, 14, 21, 21, 23, 25, 26, 27, 28, 29]"
3332670362,/mnt/adithya/test/3332670362.mp4,a baby is swinging in a baby swing and laughing.,laughing,laughing. a baby is swinging in a baby swing and laughing.,"[0, 1, 5, 6, 8, 9, 10, 11, 34, 36, 39, 39, 45, 48, 51, 51]"
9048165540,/mnt/adithya/test/9048165540.mp4,two people are fencing in a room with a crowd watching.,shot put,shot put. two people are fencing in a room with a crowd watching.,"[0, 3, 4, 5, 7, 8, 10, 14, 44, 47, 47, 48, 49, 50, 58, 60]"
4311927018,/mnt/adithya/test/4311927018.mp4,a group of construction workers are working on a building.,spraying,spraying. a group of construction workers are working on a building.,"[0, 1, 2, 3, 4, 5, 6, 7, 14, 14, 14, 15, 15, 15, 16, 16]"
3386797396,/mnt/adithya/test/3386797396.mp4,a little girl is feeding a goat through a fence.,feeding birds,feeding birds. a little girl is feeding a goat through a fence.,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
3525178080,/mnt/adithya/test/3525178080.mp4,a group of men are in a field and are trying to push a wheel.,digging,digging. a group of men are in a field and are trying to push a wheel.,"[0, 1, 2, 3, 4, 5, 8, 9, 13, 14, 15, 15, 16, 16, 16, 16]"
2974851017,/mnt/adithya/test/2974851017.mp4,a man is playing a song on a piano in a living room.,playing organ,playing organ. a man is playing a song on a piano in a living room.,"[2, 3, 4, 5, 6, 7, 8, 9, 28, 30, 30, 31, 32, 36, 38, 40]"
4631119360,/mnt/adithya/test/4631119360.mp4,a man is showing a little boy how to catch a ball in the water.,jogging,jogging. a man is showing a little boy how to catch a ball in the water.,"[0, 1, 2, 3, 5, 6, 7, 8, 21, 23, 24, 24, 25, 26, 27, 30]"
2805028487,/mnt/adithya/test/2805028487.mp4,a group of people are outside and eating some food.,eating hotdog,eating hotdog. a group of people are outside and eating some food.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 9, 10, 11, 11, 12]"
5953341392,/mnt/adithya/test/5953341392.mp4,a baby is sitting in a high chair and sticking out their tongue.,laughing,laughing. a baby is sitting in a high chair and sticking out their tongue.,"[3, 4, 5, 6, 9, 11, 15, 16, 27, 29, 29, 31, 33, 34, 35, 36]"
5995224103,/mnt/adithya/test/5995224103.mp4,two little girls are playing with a ball and the other is kicking the ball.,somersaulting,somersaulting. two little girls are playing with a ball and the other is kicking the ball.,"[0, 1, 3, 4, 6, 8, 10, 11, 38, 39, 39, 39, 42, 43, 43, 43]"
4607629530,/mnt/adithya/test/4607629530.mp4,a group of people are sitting in a room and talking and laughing.,pumping fist,pumping fist. a group of people are sitting in a room and talking and laughing.,"[1, 2, 3, 4, 6, 8, 10, 11, 31, 32, 34, 34, 36, 38, 40, 40]"
2525831823,/mnt/adithya/test/2525831823.mp4,three young men are singing into a microphone while one of them is singing.,beatboxing,beatboxing. three young men are singing into a microphone while one of them is singing.,"[6, 7, 8, 10, 12, 13, 15, 17, 25, 27, 27, 27, 28, 28, 33, 33]"
10985344225,/mnt/adithya/test/10985344225.mp4,a group of people are working together to work on a large piece of metal.,blasting sand,blasting sand. a group of people are working together to work on a large piece of metal.,"[1, 2, 6, 8, 14, 15, 18, 19, 21, 22, 23, 27, 27, 27, 32, 32]"
2924847675,/mnt/adithya/test/2924847675.mp4,two people are on a stage and they are acting out a scene.,salsa dancing,salsa dancing. two people are on a stage and they are acting out a scene.,"[0, 1, 2, 3, 4, 5, 6, 8, 12, 13, 13, 14, 14, 15, 15, 16]"
2407193002,/mnt/adithya/test/2407193002.mp4,a young boy is playing a guitar and singing while a woman is talking to him.,playing harmonica,playing harmonica. a young boy is playing a guitar and singing while a woman is talking to him.,"[1, 2, 5, 7, 8, 9, 11, 13, 39, 42, 43, 45, 46, 47, 51, 51]"
6994417868,/mnt/adithya/test/6994417868.mp4,a person is playing a toy piano with their fingers.,playing piano,playing piano. a person is playing a toy piano with their fingers.,"[0, 1, 2, 3, 4, 5, 6, 7, 7, 7, 7, 8, 8, 9, 9, 10]"
4198999510,/mnt/adithya/test/4198999510.mp4,a woman holds a baby and the baby kisses her.,carrying baby,carrying baby. a woman holds a baby and the baby kisses her.,"[0, 1, 2, 3, 4, 5, 6, 7, 16, 17, 17, 18, 19, 23, 23, 23]"
5890296039,/mnt/adithya/test/5890296039.mp4,a woman is playing a guitar and singing while a man plays a guitar.,playing drums,playing drums. a woman is playing a guitar and singing while a man plays a guitar.,"[3, 11, 12, 13, 15, 17, 20, 21, 35, 37, 38, 39, 40, 41, 43, 47]"
5503178247,/mnt/adithya/test/5503178247.mp4,two babies are sitting on a bed and shaking their heads and shaking their heads.,blowing nose,blowing nose. two babies are sitting on a bed and shaking their heads and shaking their heads.,"[0, 1, 2, 3, 4, 5, 6, 6, 6, 7, 8, 9, 10, 11, 11, 15]"
3492285627,/mnt/adithya/test/3492285627.mp4,a toddler is sitting in a high chair eating cake with his hands.,eating doughnuts,eating doughnuts. a toddler is sitting in a high chair eating cake with his hands.,"[1, 4, 7, 8, 9, 11, 12, 14, 28, 30, 31, 32, 35, 36, 37, 38]"
11794871936,/mnt/adithya/test/11794871936.mp4,a woman is holding a baby and the baby is making faces.,crying,crying. a woman is holding a baby and the baby is making faces.,"[0, 1, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 8, 9, 10, 11]"
8575896129,/mnt/adithya/test/8575896129.mp4,a woman is walking with a little girl on a windy day.,riding mountain bike,riding mountain bike. a woman is walking with a little girl on a windy day.,"[0, 2, 4, 7, 10, 11, 12, 14, 43, 46, 47, 50, 52, 52, 55, 59]"
